# Constructed from biom file
#OTU ID	E2_T3_y2014_seqrunA	E5_T3_y2014_seqrunA	E7_T3_y2014_seqrunA	E9_T3_y2014_seqrunA	F10_T3_y2014_seqrunA	F2_T3_y2014_seqrunA	F3_T3_y2014_seqrunA	F4_T3_y2014_seqrunA
fe60fdd97644302f7169f1d109c70575	8.0	0.0	15.0	14.0	0.0	1.0	0.0	4.0
85b020f842da1a4499e98abc5420ab98	2.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0
382881c9459ea309e865be60aefba35a	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0
0c76a47d45ff289de39a9c4fecfe4e27	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
8d80bd952e150e0d040c9f030d274151	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
ee290d1b3c671b2e131312b55eccb97e	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0
dd46804b330efe42d5672af9b99a910f	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
8aa69f02826f9fddad8119450f3307c2	0.0	0.0	0.0	1.0	0.0	5.0	0.0	0.0
8dfd173cb6813b3de7e3cac270e00969	45.0	24.0	10.0	0.0	13.0	27.0	14.0	73.0
12c43e05e42c0fa954ad960d4f9d03c8	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
1fe356e985ca94ea4663e8cfb1a9b9a9	0.0	3.0	9.0	5.0	0.0	0.0	0.0	0.0
990cdfb9e4f800f6edd5246090648821	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
f8f62c53b4ef7fd050b4f0569887fb26	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
08d6af15a9a1447e1129c262a3d1d857	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0
df18303ebe3e31944fbe3a2d6a9443a9	0.0	1.0	0.0	0.0	1.0	1.0	1.0	1.0
dd2abb03caffa6424768fcbf04afe2e2	0.0	0.0	0.0	3.0	0.0	0.0	1.0	0.0
f4a34be89df58443b6830964d67851af	7.0	0.0	2.0	3.0	0.0	0.0	0.0	0.0
c04d9f020856dcffc43c0947dad1d2c2	7.0	2.0	1.0	0.0	0.0	0.0	0.0	0.0
6a469ff683e34aacf59a6043fcde978f	0.0	0.0	21.0	21.0	0.0	0.0	0.0	0.0
22b3a8e14810f79ba1e451d9b46f847a	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
4811f81d52a7c0b9631d51d3250d71e7	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
4bce4ae85e8867f87a51e14517aabb21	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0
ac88d72532a4535dfb3e14438db3847c	1.0	1.0	1.0	3.0	0.0	0.0	0.0	0.0
8fd5c1b566d2156117d8e77ef5107ed6	0.0	3.0	0.0	1.0	0.0	1.0	0.0	0.0
067c8ea21dca4ffdadd685c73f0c8ca6	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0
ae86bf2d91044c461e91bb5bee50ebab	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0
13bd3a798535382a1682ed832415fd91	0.0	0.0	45.0	4.0	0.0	0.0	0.0	0.0
35fba79fe5eb0b47aa88930c907a87a7	0.0	0.0	4.0	2.0	0.0	0.0	0.0	0.0
56105963942878c4c9bf90f7cf1452cd	0.0	0.0	2.0	1.0	0.0	0.0	0.0	0.0
66f2adffe7aabf778a19bf24c90eedb9	3.0	9.0	4.0	21.0	0.0	3.0	1.0	0.0
49a7123db5cb688821fdf91ce276fd50	0.0	7.0	0.0	0.0	12.0	14.0	41.0	22.0
