	F1_T1_y2016_seqrunA	F10_T1_y2016_seqrunA	F2_T1_y2016_seqrunA	F3_T1_y2016_seqrunA	F4_T1_y2016_seqrunA	F5_T1_y2016_seqrunA	F6_T1_y2016_seqrunA	F7_T1_y2016_seqrunA	F8_T1_y2016_seqrunA	F9_T1_y2016_seqrunA	S1_T1_y2016_seqrunA	S10_T1_y2016_seqrunA	S2_T1_y2016_seqrunA	S3_T1_y2016_seqrunA	S4_T1_y2016_seqrunA	S5_T1_y2016_seqrunA	S6_T1_y2016_seqrunA	S7_T1_y2016_seqrunA	S8_T1_y2016_seqrunA	S9_T1_y2016_seqrunA
F1_T1_y2016_seqrunA	0	0.4114428162574768	0.5158534646034241	0.6592917442321777	0.581174910068512	0.6332566142082214	0.6123771667480469	0.5670621991157532	0.584646999835968	0.6171901226043701	0.6013762950897217	0.583139955997467	0.601834774017334	0.6141684651374817	0.6018545627593994	0.5815752148628235	0.6070194244384766	0.5844395160675049	0.6015457510948181	0.5591738224029541
F10_T1_y2016_seqrunA	0.4114428162574768	0	0.5909819602966309	0.6370297074317932	0.5505832433700562	0.58059161901474	0.5597643256187439	0.5993238687515259	0.5311290621757507	0.6386108994483948	0.6036081314086914	0.6187424063682556	0.5030150413513184	0.6153520345687866	0.5821782350540161	0.5458242893218994	0.5858574509620667	0.6234397888183594	0.6313045620918274	0.5812754034996033
F2_T1_y2016_seqrunA	0.5158534646034241	0.5909819602966309	0	0.4651933312416077	0.3602953255176544	0.3916043937206268	0.3652837574481964	0.3301239907741547	0.4117998778820038	0.4467732906341553	0.4457613825798035	0.3860522210597992	0.3382194936275482	0.4181843996047974	0.3956969380378723	0.2821364104747772	0.30512335896492	0.3555659651756287	0.5025376677513123	0.4210822880268097
F3_T1_y2016_seqrunA	0.6592917442321777	0.6370297074317932	0.4651933312416077	0	0.4780623316764832	0.4136357605457306	0.4544505774974823	0.5057235956192017	0.4750012457370758	0.4966187179088593	0.5044536590576172	0.4345986247062683	0.4886204600334167	0.56412672996521	0.4765700101852417	0.4623343944549561	0.3787460625171661	0.4261261522769928	0.5959789156913757	0.5263686180114746
F4_T1_y2016_seqrunA	0.581174910068512	0.5505832433700562	0.3602953255176544	0.4780623316764832	0	0.337244063615799	0.3123808205127716	0.3890084028244019	0.3836866021156311	0.4442403614521027	0.461061418056488	0.3645155131816864	0.3541898727416992	0.4409459233283997	0.3507747650146484	0.2990144193172455	0.397942841053009	0.3728851675987244	0.5585305094718933	0.4701314270496368
F5_T1_y2016_seqrunA	0.6332566142082214	0.58059161901474	0.3916043937206268	0.4136357605457306	0.337244063615799	0	0.3493564426898956	0.4519682824611664	0.373826652765274	0.4360654950141907	0.4332817196846008	0.3761763870716095	0.3707371354103088	0.4830129444599152	0.3788415193557739	0.3330772817134857	0.3521956205368042	0.3893998265266418	0.607571542263031	0.5138022303581238
F6_T1_y2016_seqrunA	0.6123771667480469	0.5597643256187439	0.3652837574481964	0.4544505774974823	0.3123808205127716	0.3493564426898956	0	0.377204030752182	0.3593195378780365	0.4415877461433411	0.4782719016075134	0.2660209536552429	0.2975052893161774	0.5127179622650146	0.3189031779766083	0.2982020974159241	0.2695090770721436	0.3058842420578003	0.5324589014053345	0.4010179042816162
F7_T1_y2016_seqrunA	0.5670621991157532	0.5993238687515259	0.3301239907741547	0.5057235956192017	0.3890084028244019	0.4519682824611664	0.377204030752182	0	0.4436543583869934	0.4062364399433136	0.4744791388511658	0.323116809129715	0.4172346591949463	0.5014247894287109	0.3818220198154449	0.3228341042995453	0.3244230151176453	0.3313514590263367	0.5460168123245239	0.3709870874881744
F8_T1_y2016_seqrunA	0.584646999835968	0.5311290621757507	0.4117998778820038	0.4750012457370758	0.3836866021156311	0.373826652765274	0.3593195378780365	0.4436543583869934	0	0.5250147581100464	0.4396090507507324	0.4380302131175995	0.3664337396621704	0.520982027053833	0.3995391726493835	0.3344110548496246	0.3565096855163574	0.3997618556022644	0.5151819586753845	0.4030497670173645
F9_T1_y2016_seqrunA	0.6171901226043701	0.6386108994483948	0.4467732906341553	0.4966187179088593	0.4442403614521027	0.4360654950141907	0.4415877461433411	0.4062364399433136	0.5250147581100464	0	0.4478521943092346	0.3529832363128662	0.4996873736381531	0.5345732569694519	0.428793877363205	0.3857111632823944	0.3948409855365753	0.3681426644325256	0.542919397354126	0.3838776051998138
S1_T1_y2016_seqrunA	0.6013762950897217	0.6036081314086914	0.4457613825798035	0.5044536590576172	0.461061418056488	0.4332817196846008	0.4782719016075134	0.4744791388511658	0.4396090507507324	0.4478521943092346	0	0.4927681684494019	0.4436898529529572	0.4902204573154449	0.4623665809631348	0.3810532093048096	0.4620458781719208	0.4952821135520935	0.5216899514198303	0.393327385187149
S10_T1_y2016_seqrunA	0.583139955997467	0.6187424063682556	0.3860522210597992	0.4345986247062683	0.3645155131816864	0.3761763870716095	0.2660209536552429	0.323116809129715	0.4380302131175995	0.3529832363128662	0.4927681684494019	0	0.4172630906105042	0.5189875960350037	0.2924215793609619	0.2992374897003174	0.2595047056674957	0.2039486467838287	0.5277190804481506	0.3654282093048096
S2_T1_y2016_seqrunA	0.601834774017334	0.5030150413513184	0.3382194936275482	0.4886204600334167	0.3541898727416992	0.3707371354103088	0.2975052893161774	0.4172346591949463	0.3664337396621704	0.4996873736381531	0.4436898529529572	0.4172630906105042	0	0.5040839314460754	0.3958998620510101	0.2950804531574249	0.3162952065467834	0.4076802134513855	0.551732063293457	0.3920615017414093
S3_T1_y2016_seqrunA	0.6141684651374817	0.6153520345687866	0.4181843996047974	0.56412672996521	0.4409459233283997	0.4830129444599152	0.5127179622650146	0.5014247894287109	0.520982027053833	0.5345732569694519	0.4902204573154449	0.5189875960350037	0.5040839314460754	0	0.4952917098999023	0.4628508985042572	0.5128874182701111	0.5013123154640198	0.5734599828720093	0.5580627918243408
