	F1_T1_y2016_seqrunA	F10_T1_y2016_seqrunA	F2_T1_y2016_seqrunA	F3_T1_y2016_seqrunA	F4_T1_y2016_seqrunA	F5_T1_y2016_seqrunA	F6_T1_y2016_seqrunA	F7_T1_y2016_seqrunA	F8_T1_y2016_seqrunA	F9_T1_y2016_seqrunA	S1_T1_y2016_seqrunA	S10_T1_y2016_seqrunA	S2_T1_y2016_seqrunA	S3_T1_y2016_seqrunA	S4_T1_y2016_seqrunA	S5_T1_y2016_seqrunA	S6_T1_y2016_seqrunA	S7_T1_y2016_seqrunA	S8_T1_y2016_seqrunA	S9_T1_y2016_seqrunA
F1_T1_y2016_seqrunA	0	0.1696815341711044	0.235639899969101	0.1490454822778702	0.2907134294509888	0.2432020455598831	0.2026593238115311	0.1935562193393707	0.2112484872341156	0.1522603183984756	0.1103810146450996	0.1989626437425613	0.09012623876333237	0.1994373947381973	0.2145060300827026	0.1408835649490356	0.2572470009326935	0.2021129280328751	0.1921684890985489	0.1883537024259567
F10_T1_y2016_seqrunA	0.1696815341711044	0	0.1900793612003326	0.2065520435571671	0.2354490607976913	0.2291272729635239	0.181762769818306	0.3221184909343719	0.2468663305044174	0.1382050812244415	0.1841403543949127	0.2751654982566833	0.1998724937438965	0.1105892211198807	0.1927957087755203	0.2732748687267303	0.389723151922226	0.252528965473175	0.2744252681732178	0.2574837505817413
F2_T1_y2016_seqrunA	0.235639899969101	0.1900793612003326	0	0.2609969675540924	0.4029187858104706	0.2408096790313721	0.3494797050952911	0.3616593480110168	0.1644876599311829	0.2222774475812912	0.30007204413414	0.4007840752601624	0.2429740875959396	0.2546090483665466	0.3642967343330383	0.3278282284736633	0.4271491467952728	0.410821408033371	0.4020658135414124	0.4057174026966095
F3_T1_y2016_seqrunA	0.1490454822778702	0.2065520435571671	0.2609969675540924	0	0.3095206022262573	0.2704769968986511	0.1974222213029861	0.1468724608421326	0.2484622299671173	0.2379449307918549	0.08688297867774963	0.1698771715164185	0.133536085486412	0.2206182777881622	0.2259078323841095	0.1452438235282898	0.2108151614665985	0.1688914746046066	0.1532252579927444	0.1632147431373596
F4_T1_y2016_seqrunA	0.2907134294509888	0.2354490607976913	0.4029187858104706	0.3095206022262573	0	0.2791455388069153	0.1799827218055725	0.3484823703765869	0.3788904547691345	0.2015218436717987	0.2585383653640747	0.2353577464818954	0.3188914060592651	0.1814321130514145	0.1498283892869949	0.3197762668132782	0.3973820805549622	0.214050754904747	0.2658620178699493	0.243684858083725
F5_T1_y2016_seqrunA	0.2432020455598831	0.2291272729635239	0.2408096790313721	0.2704769968986511	0.2791455388069153	0	0.2894896268844604	0.3337040543556213	0.2104111760854721	0.177809402346611	0.2654690444469452	0.271470308303833	0.2965763509273529	0.2092173844575882	0.2939360439777374	0.3030390441417694	0.3767099976539612	0.2848627865314484	0.269111305475235	0.2728239595890045
F6_T1_y2016_seqrunA	0.2026593238115311	0.181762769818306	0.3494797050952911	0.1974222213029861	0.1799827218055725	0.2894896268844604	0	0.2497810423374176	0.3213710188865662	0.1984546035528183	0.1487253606319427	0.2069609016180038	0.2036064714193344	0.1514543741941452	0.03772402927279472	0.2477804273366928	0.3228550255298615	0.1277305632829666	0.1966164857149124	0.1626226007938385
F7_T1_y2016_seqrunA	0.1935562193393707	0.3221184909343719	0.3616593480110168	0.1468724608421326	0.3484823703765869	0.3337040543556213	0.2497810423374176	0	0.2924096584320068	0.2996887564659119	0.1488462090492249	0.1518543362617493	0.1832559853792191	0.3027311861515045	0.2662835717201233	0.08380940556526184	0.08423980325460434	0.1783492863178253	0.127052828669548	0.1417313069105148
F8_T1_y2016_seqrunA	0.2112484872341156	0.2468663305044174	0.1644876599311829	0.2484622299671173	0.3788904547691345	0.2104111760854721	0.3213710188865662	0.2924096584320068	0	0.200603187084198	0.2625221908092499	0.3561941385269165	0.2251717299222946	0.255433201789856	0.3331477642059326	0.2723698019981384	0.3368388712406158	0.3720559775829315	0.3527142703533173	0.3564024567604065
F9_T1_y2016_seqrunA	0.1522603183984756	0.1382050812244415	0.2222774475812912	0.2379449307918549	0.2015218436717987	0.177809402346611	0.1984546035528183	0.2996887564659119	0.200603187084198	0	0.1977362930774689	0.2185695022344589	0.2164532393217087	0.106885589659214	0.1992696970701218	0.2482813447713852	0.3549864292144775	0.2225764393806458	0.2395443022251129	0.2428350746631622
