	F1_T2_y2016_seqrunA	F10_T2_y2016_seqrunA	F2_T2_y2016_seqrunA	F3_T2_y2016_seqrunA	F4_T2_y2016_seqrunA	F5_T2_y2016_seqrunA	F6_T2_y2016_seqrunA	F7_T2_y2016_seqrunA	F8_T2_y2016_seqrunA	F9_T2_y2016_seqrunA	S1_T2_y2016_seqrunA	S10_T2_y2016_seqrunA	S2_T2_y2016_seqrunA	S3_T2_y2016_seqrunA	S4_T2_y2016_seqrunA	S5_T2_y2016_seqrunA	S6_T2_y2016_seqrunA	S7_T2_y2016_seqrunA	S8_T2_y2016_seqrunA	S9_T2_y2016_seqrunA
F1_T2_y2016_seqrunA	0.0	0.27466666666666667	0.496	0.49733333333333335	0.2	0.3506666666666667	0.6586666666666666	0.23066666666666666	0.41333333333333333	0.5186666666666667	0.404	0.4146666666666667	0.788	0.9133333333333333	0.888	0.22533333333333333	0.38533333333333336	0.4146666666666667	0.37066666666666664	0.5133333333333333
F10_T2_y2016_seqrunA	0.27466666666666667	0.0	0.492	0.41733333333333333	0.29333333333333333	0.25866666666666666	0.584	0.17866666666666667	0.2906666666666667	0.48133333333333334	0.18133333333333335	0.296	0.708	0.888	0.748	0.27066666666666667	0.31333333333333335	0.5093333333333333	0.34	0.4146666666666667
F2_T2_y2016_seqrunA	0.496	0.492	0.0	0.512	0.5106666666666667	0.6146666666666667	0.6813333333333333	0.476	0.536	0.5253333333333333	0.6133333333333333	0.5253333333333333	0.8013333333333333	0.9146666666666666	0.8706666666666667	0.4653333333333333	0.5426666666666666	0.6506666666666666	0.5253333333333333	0.6093333333333333
F3_T2_y2016_seqrunA	0.49733333333333335	0.41733333333333333	0.512	0.0	0.5	0.5746666666666667	0.49066666666666664	0.4106666666666667	0.37866666666666665	0.4493333333333333	0.4693333333333333	0.38533333333333336	0.5893333333333334	0.816	0.68	0.43066666666666664	0.516	0.5586666666666666	0.392	0.452
F4_T2_y2016_seqrunA	0.2	0.29333333333333333	0.5106666666666667	0.5	0.0	0.308	0.644	0.24266666666666667	0.4186666666666667	0.5106666666666667	0.34	0.388	0.7786666666666666	0.8533333333333334	0.88	0.23066666666666666	0.32666666666666666	0.4013333333333333	0.344	0.5
F5_T2_y2016_seqrunA	0.3506666666666667	0.25866666666666666	0.6146666666666667	0.5746666666666667	0.308	0.0	0.6493333333333333	0.30533333333333335	0.436	0.5946666666666667	0.256	0.44	0.7613333333333333	0.8733333333333333	0.8133333333333334	0.3373333333333333	0.27466666666666667	0.49333333333333335	0.44	0.49866666666666665
F6_T2_y2016_seqrunA	0.6586666666666666	0.584	0.6813333333333333	0.49066666666666664	0.644	0.6493333333333333	0.0	0.5746666666666667	0.5026666666666667	0.7133333333333334	0.5373333333333333	0.532	0.5146666666666667	0.8826666666666667	0.6906666666666667	0.6026666666666667	0.6386666666666667	0.6533333333333333	0.5626666666666666	0.5786666666666667
F7_T2_y2016_seqrunA	0.23066666666666666	0.17866666666666667	0.476	0.4106666666666667	0.24266666666666667	0.30533333333333335	0.5746666666666667	0.0	0.31466666666666665	0.476	0.2813333333333333	0.288	0.704	0.88	0.792	0.2	0.3546666666666667	0.43866666666666665	0.32	0.39866666666666667
F8_T2_y2016_seqrunA	0.41333333333333333	0.2906666666666667	0.536	0.37866666666666665	0.4186666666666667	0.436	0.5026666666666667	0.31466666666666665	0.0	0.41733333333333333	0.31333333333333335	0.36666666666666664	0.636	0.8653333333333333	0.6706666666666666	0.3626666666666667	0.4493333333333333	0.6013333333333334	0.472	0.39466666666666667
F9_T2_y2016_seqrunA	0.5186666666666667	0.48133333333333334	0.5253333333333333	0.4493333333333333	0.5106666666666667	0.5946666666666667	0.7133333333333334	0.476	0.41733333333333333	0.0	0.5786666666666667	0.572	0.7786666666666666	0.8133333333333334	0.7653333333333333	0.432	0.5693333333333334	0.6453333333333333	0.5253333333333333	0.556
S1_T2_y2016_seqrunA	0.404	0.18133333333333335	0.6133333333333333	0.4693333333333333	0.34	0.256	0.5373333333333333	0.2813333333333333	0.31333333333333335	0.5786666666666667	0.0	0.32666666666666666	0.668	0.8733333333333333	0.7066666666666667	0.39466666666666667	0.3	0.5586666666666666	0.384	0.42
S10_T2_y2016_seqrunA	0.4146666666666667	0.296	0.5253333333333333	0.38533333333333336	0.388	0.44	0.532	0.288	0.36666666666666664	0.572	0.32666666666666666	0.0	0.6586666666666666	0.7653333333333333	0.7346666666666667	0.344	0.41733333333333333	0.49333333333333335	0.35733333333333334	0.408
S2_T2_y2016_seqrunA	0.788	0.708	0.8013333333333333	0.5893333333333334	0.7786666666666666	0.7613333333333333	0.5146666666666667	0.704	0.636	0.7786666666666666	0.668	0.6586666666666666	0.0	0.8493333333333334	0.31866666666666665	0.7386666666666667	0.7733333333333333	0.7346666666666667	0.72	0.6773333333333333
S3_T2_y2016_seqrunA	0.9133333333333333	0.888	0.9146666666666666	0.816	0.8533333333333334	0.8733333333333333	0.8826666666666667	0.88	0.8653333333333333	0.8133333333333334	0.8733333333333333	0.7653333333333333	0.8493333333333334	0.0	0.852	0.8986666666666666	0.8413333333333334	0.8586666666666667	0.872	0.76
