	F1_T3_y2016_seqrunA	F10_T3_y2016_seqrunA	F2_T3_y2016_seqrunA	F3_T3_y2016_seqrunA	F4_T3_y2016_seqrunA	F5_T3_y2016_seqrunA	F6_T3_y2016_seqrunA	F7_T3_y2016_seqrunA	F8_T3_y2016_seqrunA	F9_T3_y2016_seqrunA	S1_T3_y2016_seqrunA	S10_T3_y2016_seqrunA	S3_T3_y2016_seqrunA	S4_T3_y2016_seqrunA	S5_T3_y2016_seqrunA	S6_T3_y2016_seqrunA	S7_T3_y2016_seqrunA	S8_T3_y2016_seqrunA	S9_T3_y2016_seqrunA
F1_T3_y2016_seqrunA	0.0	0.6533333333333333	0.39466666666666667	0.532	0.7586666666666667	0.5226666666666666	0.4786666666666667	0.432	0.5146666666666667	0.692	0.7613333333333333	0.36666666666666664	0.484	0.456	0.3466666666666667	0.4693333333333333	0.48	0.5213333333333333	0.232
F10_T3_y2016_seqrunA	0.6533333333333333	0.0	0.45066666666666666	0.5253333333333333	0.8093333333333333	0.8053333333333333	0.5506666666666666	0.7333333333333333	0.6693333333333333	0.8613333333333333	0.864	0.5053333333333333	0.564	0.428	0.5466666666666666	0.46266666666666667	0.4493333333333333	0.42933333333333334	0.652
F2_T3_y2016_seqrunA	0.39466666666666667	0.45066666666666666	0.0	0.6093333333333333	0.8106666666666666	0.568	0.38666666666666666	0.584	0.484	0.7773333333333333	0.8173333333333334	0.37866666666666665	0.52	0.396	0.4786666666666667	0.42	0.38533333333333336	0.3546666666666667	0.44533333333333336
F3_T3_y2016_seqrunA	0.532	0.5253333333333333	0.6093333333333333	0.0	0.604	0.5933333333333334	0.5253333333333333	0.5693333333333334	0.6613333333333333	0.7546666666666667	0.688	0.5773333333333334	0.452	0.596	0.46	0.5	0.492	0.512	0.5093333333333333
F4_T3_y2016_seqrunA	0.7586666666666667	0.8093333333333333	0.8106666666666666	0.604	0.0	0.5613333333333334	0.7	0.5986666666666667	0.728	0.8253333333333334	0.464	0.7546666666666667	0.432	0.824	0.6733333333333333	0.7226666666666667	0.7186666666666667	0.7853333333333333	0.7306666666666667
F5_T3_y2016_seqrunA	0.5226666666666666	0.8053333333333333	0.568	0.5933333333333334	0.5613333333333334	0.0	0.564	0.49866666666666665	0.5573333333333333	0.7413333333333333	0.64	0.576	0.5306666666666666	0.7453333333333333	0.5506666666666666	0.5533333333333333	0.5813333333333334	0.644	0.528
F6_T3_y2016_seqrunA	0.4786666666666667	0.5506666666666666	0.38666666666666666	0.5253333333333333	0.7	0.564	0.0	0.472	0.44133333333333336	0.756	0.688	0.45066666666666666	0.4786666666666667	0.556	0.328	0.41733333333333333	0.3333333333333333	0.37333333333333335	0.468
F7_T3_y2016_seqrunA	0.432	0.7333333333333333	0.584	0.5693333333333334	0.5986666666666667	0.49866666666666665	0.472	0.0	0.456	0.7186666666666667	0.5453333333333333	0.5453333333333333	0.5146666666666667	0.7013333333333334	0.34933333333333333	0.5306666666666666	0.49466666666666664	0.6146666666666667	0.432
F8_T3_y2016_seqrunA	0.5146666666666667	0.6693333333333333	0.484	0.6613333333333333	0.728	0.5573333333333333	0.44133333333333336	0.456	0.0	0.768	0.7213333333333334	0.468	0.5773333333333334	0.652	0.3893333333333333	0.5213333333333333	0.424	0.5653333333333334	0.4186666666666667
F9_T3_y2016_seqrunA	0.692	0.8613333333333333	0.7773333333333333	0.7546666666666667	0.8253333333333334	0.7413333333333333	0.756	0.7186666666666667	0.768	0.0	0.8906666666666667	0.8533333333333334	0.7466666666666667	0.832	0.676	0.8493333333333334	0.7693333333333333	0.796	0.6893333333333334
