	b1_t1_y2017_seqrunB	b2_t1_y2017_seqrunB	b3_t1_y2017_seqrunB	b4_t1_y2017_seqrunB	e11_t1_y2017_seqrunB	e13_t1_y2017_seqrunB	e14_t1_y2017_seqrunB	e16_t1_y2017_seqrunB	e17_t1_y2017_seqrunB	e19_t1_y2017_seqrunB	e23_t1_y2017_seqrunB	e30_t1_y2017_seqrunB	f15_t1_y2017_seqrunB	f20_t1_y2017_seqrunB	f25_t1_y2017_seqrunB	f28_t1_y2017_seqrunB	f31_t1_y2017_seqrunB
b1_t1_y2017_seqrunB	0.0	0.8706666666666667	0.7013333333333334	0.37333333333333335	0.8413333333333334	0.776	0.7826666666666666	0.7746666666666666	0.8586666666666667	0.7493333333333333	0.7106666666666667	0.7573333333333333	0.6733333333333333	0.76	0.8613333333333333	0.7613333333333333	0.7306666666666667
b2_t1_y2017_seqrunB	0.8706666666666667	0.0	0.192	0.952	0.9733333333333334	0.916	0.9	0.8813333333333333	0.948	0.9213333333333333	0.9226666666666666	0.9186666666666666	0.8306666666666667	0.828	0.7733333333333333	0.884	0.8266666666666667
b3_t1_y2017_seqrunB	0.7013333333333334	0.192	0.0	0.944	0.9586666666666667	0.8733333333333333	0.884	0.864	0.9346666666666666	0.8346666666666667	0.7826666666666666	0.8613333333333333	0.7546666666666667	0.7786666666666666	0.7533333333333333	0.8426666666666667	0.7946666666666666
b4_t1_y2017_seqrunB	0.37333333333333335	0.952	0.944	0.0	0.9626666666666667	0.9546666666666667	0.9306666666666666	0.9586666666666667	0.96	0.9453333333333334	0.956	0.9613333333333334	0.9373333333333334	0.9426666666666667	0.9706666666666667	0.9466666666666667	0.948
e11_t1_y2017_seqrunB	0.8413333333333334	0.9733333333333334	0.9586666666666667	0.9626666666666667	0.0	0.648	0.47733333333333333	0.44	0.536	0.5746666666666667	0.5933333333333334	0.464	0.504	0.6453333333333333	0.628	0.4693333333333333	0.5026666666666667
e13_t1_y2017_seqrunB	0.776	0.916	0.8733333333333333	0.9546666666666667	0.648	0.0	0.5746666666666667	0.576	0.68	0.5293333333333333	0.568	0.5573333333333333	0.564	0.552	0.6333333333333333	0.5626666666666666	0.584
e14_t1_y2017_seqrunB	0.7826666666666666	0.9	0.884	0.9306666666666666	0.47733333333333333	0.5746666666666667	0.0	0.376	0.452	0.4053333333333333	0.4653333333333333	0.46	0.44666666666666666	0.5973333333333334	0.48933333333333334	0.33866666666666667	0.38266666666666665
e16_t1_y2017_seqrunB	0.7746666666666666	0.8813333333333333	0.864	0.9586666666666667	0.44	0.576	0.376	0.0	0.30133333333333334	0.42533333333333334	0.5133333333333333	0.448	0.4186666666666667	0.6066666666666667	0.636	0.4573333333333333	0.4706666666666667
e17_t1_y2017_seqrunB	0.8586666666666667	0.948	0.9346666666666666	0.96	0.536	0.68	0.452	0.30133333333333334	0.0	0.492	0.5906666666666667	0.532	0.572	0.672	0.768	0.604	0.6346666666666667
e19_t1_y2017_seqrunB	0.7493333333333333	0.9213333333333333	0.8346666666666667	0.9453333333333334	0.5746666666666667	0.5293333333333333	0.4053333333333333	0.42533333333333334	0.492	0.0	0.4826666666666667	0.4653333333333333	0.5506666666666666	0.672	0.576	0.532	0.5133333333333333
e23_t1_y2017_seqrunB	0.7106666666666667	0.9226666666666666	0.7826666666666666	0.956	0.5933333333333334	0.568	0.4653333333333333	0.5133333333333333	0.5906666666666667	0.4826666666666667	0.0	0.4026666666666667	0.456	0.6866666666666666	0.6573333333333333	0.47733333333333333	0.56
e30_t1_y2017_seqrunB	0.7573333333333333	0.9186666666666666	0.8613333333333333	0.9613333333333334	0.464	0.5573333333333333	0.46	0.448	0.532	0.4653333333333333	0.4026666666666667	0.0	0.41733333333333333	0.6426666666666667	0.6626666666666666	0.31866666666666665	0.4613333333333333
f15_t1_y2017_seqrunB	0.6733333333333333	0.8306666666666667	0.7546666666666667	0.9373333333333334	0.504	0.564	0.44666666666666666	0.4186666666666667	0.572	0.5506666666666666	0.456	0.41733333333333333	0.0	0.468	0.5746666666666667	0.304	0.316
f20_t1_y2017_seqrunB	0.76	0.828	0.7786666666666666	0.9426666666666667	0.6453333333333333	0.552	0.5973333333333334	0.6066666666666667	0.672	0.672	0.6866666666666666	0.6426666666666667	0.468	0.0	0.6013333333333334	0.5133333333333333	0.38266666666666665
f25_t1_y2017_seqrunB	0.8613333333333333	0.7733333333333333	0.7533333333333333	0.9706666666666667	0.628	0.6333333333333333	0.48933333333333334	0.636	0.768	0.576	0.6573333333333333	0.6626666666666666	0.5746666666666667	0.6013333333333334	0.0	0.448	0.492
f28_t1_y2017_seqrunB	0.7613333333333333	0.884	0.8426666666666667	0.9466666666666667	0.4693333333333333	0.5626666666666666	0.33866666666666667	0.4573333333333333	0.604	0.532	0.47733333333333333	0.31866666666666665	0.304	0.5133333333333333	0.448	0.0	0.304
f31_t1_y2017_seqrunB	0.7306666666666667	0.8266666666666667	0.7946666666666666	0.948	0.5026666666666667	0.584	0.38266666666666665	0.4706666666666667	0.6346666666666667	0.5133333333333333	0.56	0.4613333333333333	0.316	0.38266666666666665	0.492	0.304	0.0
