	b1_t3_y2017_seqrunB	b2_t3_y2017_seqrunB	b3_t3_y2017_seqrunB	b4_t3_y2017_seqrunB	e11_t3_y2017_seqrunB	e13_t3_y2017_seqrunB	e14_t3_y2017_seqrunB	e16_t3_y2017_seqrunB	e17_t3_y2017_seqrunB	e19_t3_y2017_seqrunB	e23_t3_y2017_seqrunB	e30_t3_y2017_seqrunB	f15_t3_y2017_seqrunB	f20_t3_y2017_seqrunB	f21_t3_y2017_seqrunB	f25_t3_y2017_seqrunB	f28_t3_y2017_seqrunB	f3_t3_y2017_seqrunB	f31_t3_y2017_seqrunB	f4_t3_y2017_seqrunB
b1_t3_y2017_seqrunB	0.0	0.448	0.20933333333333334	0.436	0.7973333333333333	0.8226666666666667	0.816	0.8093333333333333	0.892	0.8466666666666667	0.82	0.8346666666666667	0.8693333333333333	0.8693333333333333	0.8693333333333333	0.8666666666666667	0.8906666666666667	0.8706666666666667	0.8693333333333333	0.8666666666666667
b2_t3_y2017_seqrunB	0.448	0.0	0.5466666666666666	0.06666666666666667	0.904	0.8573333333333333	0.8853333333333333	0.904	0.924	0.8693333333333333	0.8546666666666667	0.9373333333333334	0.9066666666666666	0.9066666666666666	0.9066666666666666	0.9053333333333333	0.928	0.9093333333333333	0.9066666666666666	0.904
b3_t3_y2017_seqrunB	0.20933333333333334	0.5466666666666666	0.0	0.5266666666666666	0.8053333333333333	0.8386666666666667	0.8253333333333334	0.82	0.916	0.856	0.8546666666666667	0.848	0.8946666666666667	0.9066666666666666	0.8946666666666667	0.8866666666666667	0.908	0.9106666666666666	0.8946666666666667	0.8946666666666667
b4_t3_y2017_seqrunB	0.436	0.06666666666666667	0.5266666666666666	0.0	0.8973333333333333	0.8613333333333333	0.8746666666666667	0.896	0.928	0.8706666666666667	0.868	0.9386666666666666	0.9053333333333333	0.912	0.9066666666666666	0.9066666666666666	0.9133333333333333	0.9133333333333333	0.9066666666666666	0.9013333333333333
e11_t3_y2017_seqrunB	0.7973333333333333	0.904	0.8053333333333333	0.8973333333333333	0.0	0.3626666666666667	0.43733333333333335	0.296	0.332	0.6266666666666667	0.536	0.492	0.9973333333333333	0.9973333333333333	0.9973333333333333	0.9973333333333333	0.9973333333333333	0.9973333333333333	0.9973333333333333	0.9973333333333333
e13_t3_y2017_seqrunB	0.8226666666666667	0.8573333333333333	0.8386666666666667	0.8613333333333333	0.3626666666666667	0.0	0.332	0.35333333333333333	0.42933333333333334	0.596	0.42933333333333334	0.4693333333333333	0.9826666666666667	0.9826666666666667	0.9826666666666667	0.9826666666666667	0.9826666666666667	0.9826666666666667	0.9826666666666667	0.9813333333333333
e14_t3_y2017_seqrunB	0.816	0.8853333333333333	0.8253333333333334	0.8746666666666667	0.43733333333333335	0.332	0.0	0.424	0.5453333333333333	0.5	0.6253333333333333	0.48133333333333334	0.9933333333333333	0.9933333333333333	0.9933333333333333	0.9933333333333333	0.9933333333333333	0.9933333333333333	0.9933333333333333	0.9933333333333333
e16_t3_y2017_seqrunB	0.8093333333333333	0.904	0.82	0.896	0.296	0.35333333333333333	0.424	0.0	0.44533333333333336	0.5946666666666667	0.488	0.356	0.988	0.988	0.988	0.988	0.988	0.988	0.988	0.9866666666666667
e17_t3_y2017_seqrunB	0.892	0.924	0.916	0.928	0.332	0.42933333333333334	0.5453333333333333	0.44533333333333336	0.0	0.636	0.5893333333333334	0.644	0.9946666666666667	0.9946666666666667	0.9946666666666667	0.9946666666666667	0.9946666666666667	0.9946666666666667	0.9946666666666667	0.992
e19_t3_y2017_seqrunB	0.8466666666666667	0.8693333333333333	0.856	0.8706666666666667	0.6266666666666667	0.596	0.5	0.5946666666666667	0.636	0.0	0.6266666666666667	0.6413333333333333	0.9786666666666667	0.9786666666666667	0.9786666666666667	0.9786666666666667	0.9786666666666667	0.9786666666666667	0.9786666666666667	0.9786666666666667
e23_t3_y2017_seqrunB	0.82	0.8546666666666667	0.8546666666666667	0.868	0.536	0.42933333333333334	0.6253333333333333	0.488	0.5893333333333334	0.6266666666666667	0.0	0.48133333333333334	0.944	0.944	0.944	0.944	0.9626666666666667	0.944	0.944	0.9426666666666667
e30_t3_y2017_seqrunB	0.8346666666666667	0.9373333333333334	0.848	0.9386666666666666	0.492	0.4693333333333333	0.48133333333333334	0.356	0.644	0.6413333333333333	0.48133333333333334	0.0	0.9946666666666667	0.9946666666666667	0.9946666666666667	0.9946666666666667	0.9946666666666667	0.9946666666666667	0.9946666666666667	0.9946666666666667
f15_t3_y2017_seqrunB	0.8693333333333333	0.9066666666666666	0.8946666666666667	0.9053333333333333	0.9973333333333333	0.9826666666666667	0.9933333333333333	0.988	0.9946666666666667	0.9786666666666667	0.944	0.9946666666666667	0.0	0.48533333333333334	0.604	0.028	0.5053333333333333	0.4066666666666667	0.3293333333333333	0.2853333333333333
f20_t3_y2017_seqrunB	0.8693333333333333	0.9066666666666666	0.9066666666666666	0.912	0.9973333333333333	0.9826666666666667	0.9933333333333333	0.988	0.9946666666666667	0.9786666666666667	0.944	0.9946666666666667	0.48533333333333334	0.0	0.7813333333333333	0.508	0.33866666666666667	0.408	0.3413333333333333	0.48
f21_t3_y2017_seqrunB	0.8693333333333333	0.9066666666666666	0.8946666666666667	0.9066666666666666	0.9973333333333333	0.9826666666666667	0.9933333333333333	0.988	0.9946666666666667	0.9786666666666667	0.944	0.9946666666666667	0.604	0.7813333333333333	0.0	0.5893333333333334	0.8013333333333333	0.49866666666666665	0.6826666666666666	0.38266666666666665
f25_t3_y2017_seqrunB	0.8666666666666667	0.9053333333333333	0.8866666666666667	0.9066666666666666	0.9973333333333333	0.9826666666666667	0.9933333333333333	0.988	0.9946666666666667	0.9786666666666667	0.944	0.9946666666666667	0.028	0.508	0.5893333333333334	0.0	0.528	0.4093333333333333	0.3506666666666667	0.288
