	b1_t3_y2017_seqrunB	b2_t3_y2017_seqrunB	b3_t3_y2017_seqrunB	b4_t3_y2017_seqrunB	e11_t3_y2017_seqrunB	e13_t3_y2017_seqrunB	e14_t3_y2017_seqrunB	e16_t3_y2017_seqrunB	e17_t3_y2017_seqrunB	e19_t3_y2017_seqrunB	e23_t3_y2017_seqrunB	e30_t3_y2017_seqrunB	f15_t3_y2017_seqrunB	f20_t3_y2017_seqrunB	f21_t3_y2017_seqrunB	f25_t3_y2017_seqrunB	f28_t3_y2017_seqrunB	f3_t3_y2017_seqrunB	f31_t3_y2017_seqrunB	f4_t3_y2017_seqrunB
b1_t3_y2017_seqrunB	0	0.3544524013996124	0.1002172455191612	0.2260042130947113	0.4743969738483429	0.4497957527637482	0.4927060604095459	0.536929726600647	0.575181245803833	0.58930504322052	0.385911613702774	0.5657332539558411	0.6082149147987366	0.6331967115402222	0.6331967115402222	0.6525446772575378	0.6331967115402222	0.6076737642288208	0.64792799949646	0.5852844715118408
b2_t3_y2017_seqrunB	0.3544524013996124	0	0.3580688834190369	0.2542833089828491	0.5322945117950439	0.5787021517753601	0.6187697649002075	0.5978036522865295	0.6007465720176697	0.662900984287262	0.361180454492569	0.6187524795532227	0.4633013308048248	0.4965044260025024	0.4965044260025024	0.5346667170524597	0.4965044260025024	0.4622851312160492	0.5238516926765442	0.4327870905399323
b3_t3_y2017_seqrunB	0.1002172455191612	0.3580688834190369	0	0.2279647588729858	0.4308682084083557	0.4592143893241882	0.451264888048172	0.5331723093986511	0.5715502500534058	0.5578484535217285	0.3977780640125275	0.540074348449707	0.5983413457870483	0.623900830745697	0.623900830745697	0.6443423628807068	0.623900830745697	0.5977725386619568	0.6393725275993347	0.6099420785903931
b4_t3_y2017_seqrunB	0.2260042130947113	0.2542833089828491	0.2279647588729858	0	0.4207794964313507	0.4677181243896484	0.510869026184082	0.5054910778999329	0.5430185794830322	0.5846647620201111	0.2328074425458908	0.5328208804130554	0.5671594738960266	0.6004976630210876	0.6004976630210876	0.6315150260925293	0.6004976630210876	0.5665056109428406	0.6179101467132568	0.5422881245613098
e11_t3_y2017_seqrunB	0.4743969738483429	0.5322945117950439	0.4308682084083557	0.4207794964313507	0	0.3065182864665985	0.2182652801275253	0.2640405595302582	0.4219437539577484	0.3873502016067505	0.4381869435310364	0.3363215625286102	0.7182725667953491	0.7394903302192688	0.7394903302192688	0.7534112334251404	0.7394903302192688	0.7179874181747437	0.7472163438796997	0.7241384387016296
e13_t3_y2017_seqrunB	0.4497957527637482	0.5787021517753601	0.4592143893241882	0.4677181243896484	0.3065182864665985	0	0.2036739140748978	0.3675469756126404	0.3470288217067719	0.2742588818073273	0.3793241083621979	0.3690015077590942	0.7860956788063049	0.8071699738502502	0.8071699738502502	0.8173461556434631	0.8071699738502502	0.7858819961547852	0.8128159046173096	0.768937885761261
e14_t3_y2017_seqrunB	0.4927060604095459	0.6187697649002075	0.451264888048172	0.510869026184082	0.2182652801275253	0.2036739140748978	0	0.335957795381546	0.3758034408092499	0.2861240804195404	0.4245125651359558	0.3089858293533325	0.7987563610076904	0.8191770911216736	0.8191770911216736	0.8284280896186829	0.8191770911216736	0.7985617518424988	0.8243058919906616	0.8027624487876892
e16_t3_y2017_seqrunB	0.536929726600647	0.5978036522865295	0.5331723093986511	0.5054910778999329	0.2640405595302582	0.3675469756126404	0.335957795381546	0	0.3669128715991974	0.3162215054035187	0.5287526845932007	0.3585873544216156	0.7689767479896545	0.7860847115516663	0.7860847115516663	0.7953551411628723	0.7860847115516663	0.7687891125679016	0.7912054061889648	0.7550554275512695
e17_t3_y2017_seqrunB	0.575181245803833	0.6007465720176697	0.5715502500534058	0.5430185794830322	0.4219437539577484	0.3470288217067719	0.3758034408092499	0.3669128715991974	0	0.3402231931686401	0.4419631958007812	0.3518370985984802	0.8087297081947327	0.8281547427177429	0.8281547427177429	0.836531400680542	0.8281547427177429	0.80855393409729	0.8327934741973877	0.7928774356842041
e19_t3_y2017_seqrunB	0.58930504322052	0.662900984287262	0.5578484535217285	0.5846647620201111	0.3873502016067505	0.2742588818073273	0.2861240804195404	0.3162215054035187	0.3402231931686401	0	0.5016801953315735	0.3665848076343536	0.8301770687103271	0.8474554419517517	0.8474554419517517	0.8540924191474915	0.8474554419517517	0.8300386071205139	0.8511217832565308	0.8330387473106384
