	b1_t3_y2017_seqrunB	b2_t3_y2017_seqrunB	b3_t3_y2017_seqrunB	b4_t3_y2017_seqrunB	e11_t3_y2017_seqrunB	e13_t3_y2017_seqrunB	e14_t3_y2017_seqrunB	e16_t3_y2017_seqrunB	e17_t3_y2017_seqrunB	e19_t3_y2017_seqrunB	e23_t3_y2017_seqrunB	e30_t3_y2017_seqrunB	f15_t3_y2017_seqrunB	f20_t3_y2017_seqrunB	f21_t3_y2017_seqrunB	f25_t3_y2017_seqrunB	f28_t3_y2017_seqrunB	f3_t3_y2017_seqrunB	f31_t3_y2017_seqrunB	f4_t3_y2017_seqrunB
b1_t3_y2017_seqrunB	0	0.1264766454696655	0.0743267759680748	0.1123986020684242	0.3034847676753998	0.3055222034454346	0.2461158335208893	0.3384896218776703	0.3177295923233032	0.3391143679618835	0.4188046157360077	0.2814549803733826	0.4443760514259338	0.4132794439792633	0.4628901481628418	0.4435099363327026	0.4459106028079987	0.4482693672180176	0.4464248716831207	0.4442767798900604
b2_t3_y2017_seqrunB	0.1264766454696655	0	0.104485809803009	0.0172781590372324	0.3579932451248169	0.3289709389209747	0.2817977368831635	0.3835727274417877	0.3475950360298157	0.3700502812862396	0.4486068189144135	0.3329529464244843	0.4449575543403625	0.4138610064983368	0.4634717106819153	0.4442825019359589	0.4465297758579254	0.4492542743682861	0.4470830857753754	0.4448583424091339
b3_t3_y2017_seqrunB	0.0743267759680748	0.104485809803009	0	0.09574322402477264	0.3537211418151855	0.3458189368247986	0.2893749177455902	0.3821044862270355	0.3685970604419708	0.3865785300731659	0.4694343507289886	0.3316133618354797	0.479245662689209	0.4484851956367493	0.4977598190307617	0.478229284286499	0.4807613790035248	0.4835498332977295	0.4812944531440735	0.4794816672801971
b4_t3_y2017_seqrunB	0.1123986020684242	0.0172781590372324	0.09574322402477264	0	0.3485747277736664	0.3196841776371002	0.2723512649536133	0.3741542100906372	0.3389814794063568	0.361164391040802	0.4395375847816467	0.3237709105014801	0.4377490282058716	0.406829446554184	0.4562907516956329	0.4369856715202332	0.4391606450080872	0.4418389499187469	0.4398254752159119	0.4376221895217896
e11_t3_y2017_seqrunB	0.3034847676753998	0.3579932451248169	0.3537211418151855	0.3485747277736664	0	0.1011171564459801	0.1535868048667908	0.05616380274295807	0.09713140875101089	0.1753921359777451	0.145561695098877	0.09613983333110809	0.2795157432556152	0.4370384216308594	0.2787591516971588	0.2805309295654297	0.3060934841632843	0.2735095620155334	0.2890076339244843	0.2717478573322296
e13_t3_y2017_seqrunB	0.3055222034454346	0.3289709389209747	0.3458189368247986	0.3196841776371002	0.1011171564459801	0	0.08643027395009995	0.0972864031791687	0.06959772855043411	0.1390279680490494	0.1810044944286346	0.104059524834156	0.3167699873447418	0.4284747838973999	0.3267191350460052	0.3161427974700928	0.3232586085796356	0.3151708543300629	0.3202917277812958	0.3131835460662842
e14_t3_y2017_seqrunB	0.2461158335208893	0.2817977368831635	0.2893749177455902	0.2723512649536133	0.1535868048667908	0.08643027395009995	0	0.1575733870267868	0.1360299289226532	0.1437317579984665	0.2522438168525696	0.1355777531862259	0.375006377696991	0.4277957677841187	0.3935388326644897	0.37423375248909	0.3783839344978333	0.3787895441055298	0.3770735263824463	0.3752242922782898
e16_t3_y2017_seqrunB	0.3384896218776703	0.3835727274417877	0.3821044862270355	0.3741542100906372	0.05616380274295807	0.0972864031791687	0.1575733870267868	0	0.1079306751489639	0.1689116507768631	0.1241059899330139	0.1042770817875862	0.2807302176952362	0.4452535212039948	0.2778731286525726	0.2817453742027283	0.3069623410701752	0.2758935987949371	0.2900301516056061	0.2739062011241913
e17_t3_y2017_seqrunB	0.3177295923233032	0.3475950360298157	0.3685970604419708	0.3389814794063568	0.09713140875101089	0.06959772855043411	0.1360299289226532	0.1079306751489639	0	0.1285739094018936	0.1697572469711304	0.1246829926967621	0.3081551790237427	0.4240300059318542	0.3155876696109772	0.3075279295444489	0.3146437406539917	0.3065560460090637	0.3116769194602966	0.3044010698795319
e19_t3_y2017_seqrunB	0.3391143679618835	0.3700502812862396	0.3865785300731659	0.361164391040802	0.1753921359777451	0.1390279680490494	0.1437317579984665	0.1689116507768631	0.1285739094018936	0	0.2376926690340042	0.2081386595964432	0.3765035569667816	0.4420236945152283	0.3760474622249603	0.3758764266967773	0.3829921185970306	0.3749044835567474	0.3800253570079803	0.3730847239494324
e23_t3_y2017_seqrunB	0.4188046157360077	0.4486068189144135	0.4694343507289886	0.4395375847816467	0.145561695098877	0.1810044944286346	0.2522438168525696	0.1241059899330139	0.1697572469711304	0.2376926690340042	0	0.1761540770530701	0.295897901058197	0.4656439125537872	0.2406214773654938	0.2970665991306305	0.3229692876338959	0.2737605273723602	0.3056201040744781	0.2782008051872253
e30_t3_y2017_seqrunB	0.2814549803733826	0.3329529464244843	0.3316133618354797	0.3237709105014801	0.09613983333110809	0.104059524834156	0.1355777531862259	0.1042770817875862	0.1246829926967621	0.2081386595964432	0.1761540770530701	0	0.3116858601570129	0.4481834173202515	0.3252531886100769	0.3110587000846863	0.3183401525020599	0.3105038106441498	0.3152076005935669	0.3082670867443085
f15_t3_y2017_seqrunB	0.4443760514259338	0.4449575543403625	0.479245662689209	0.4377490282058716	0.2795157432556152	0.3167699873447418	0.375006377696991	0.2807302176952362	0.3081551790237427	0.3765035569667816	0.295897901058197	0.3116858601570129	0	0.215099960565567	0.1729217618703842	0.002823411952704191	0.04434514045715332	0.04082471132278442	0.01956870034337044	0.02709086053073406
f20_t3_y2017_seqrunB	0.4132794439792633	0.4138610064983368	0.4484851956367493	0.406829446554184	0.4370384216308594	0.4284747838973999	0.4277957677841187	0.4452535212039948	0.4240300059318542	0.4420236945152283	0.4656439125537872	0.4481834173202515	0.215099960565567	0	0.3762269914150238	0.2142946720123291	0.1868852823972702	0.2389945685863495	0.2047462463378906	0.2306134402751923
f21_t3_y2017_seqrunB	0.4628901481628418	0.4634717106819153	0.4977598190307617	0.4562907516956329	0.2787591516971588	0.3267191350460052	0.3935388326644897	0.2778731286525726	0.3155876696109772	0.3760474622249603	0.2406214773654938	0.3252531886100769	0.1729217618703842	0.3762269914150238	0	0.1744644045829773	0.2085495144128799	0.1448656767606735	0.1853791773319244	0.1486489921808243
f25_t3_y2017_seqrunB	0.4435099363327026	0.4442825019359589	0.478229284286499	0.4369856715202332	0.2805309295654297	0.3161427974700928	0.37423375248909	0.2817453742027283	0.3075279295444489	0.3758764266967773	0.2970665991306305	0.3110587000846863	0.002823411952704191	0.2142946720123291	0.1744644045829773	0	0.04374625533819199	0.04326318204402924	0.01861081272363663	0.02952932566404343
f28_t3_y2017_seqrunB	0.4459106028079987	0.4465297758579254	0.4807613790035248	0.4391606450080872	0.3060934841632843	0.3232586085796356	0.3783839344978333	0.3069623410701752	0.3146437406539917	0.3829921185970306	0.3229692876338959	0.3183401525020599	0.04434514045715332	0.1868852823972702	0.2085495144128799	0.04374625533819199	0	0.06518494337797165	0.02513544633984566	0.06280456483364105
f3_t3_y2017_seqrunB	0.4482693672180176	0.4492542743682861	0.4835498332977295	0.4418389499187469	0.2735095620155334	0.3151708543300629	0.3787895441055298	0.2758935987949371	0.3065560460090637	0.3749044835567474	0.2737605273723602	0.3105038106441498	0.04082471132278442	0.2389945685863495	0.1448656767606735	0.04326318204402924	0.06518494337797165	0	0.04298573732376099	0.01703304424881935
f31_t3_y2017_seqrunB	0.4464248716831207	0.4470830857753754	0.4812944531440735	0.4398254752159119	0.2890076339244843	0.3202917277812958	0.3770735263824463	0.2900301516056061	0.3116769194602966	0.3800253570079803	0.3056201040744781	0.3152076005935669	0.01956870034337044	0.2047462463378906	0.1853791773319244	0.01861081272363663	0.02513544633984566	0.04298573732376099	0	0.03810287639498711
f4_t3_y2017_seqrunB	0.4442767798900604	0.4448583424091339	0.4794816672801971	0.4376221895217896	0.2717478573322296	0.3131835460662842	0.3752242922782898	0.2739062011241913	0.3044010698795319	0.3730847239494324	0.2782008051872253	0.3082670867443085	0.02709086053073406	0.2306134402751923	0.1486489921808243	0.02952932566404343	0.06280456483364105	0.01703304424881935	0.03810287639498711	0
