	e11_t1_y2017_seqrunB	e13_t1_y2017_seqrunB	e14_t1_y2017_seqrunB	e16_t1_y2017_seqrunB	e17_t1_y2017_seqrunB	e19_t1_y2017_seqrunB	e23_t1_y2017_seqrunB	e30_t1_y2017_seqrunB	f15_t1_y2017_seqrunB	f20_t1_y2017_seqrunB	f25_t1_y2017_seqrunB	f28_t1_y2017_seqrunB	f31_t1_y2017_seqrunB
e11_t1_y2017_seqrunB	0	0.3548312485218048	0.3080291450023651	0.2642382383346558	0.4221588969230652	0.4445174336433411	0.259510725736618	0.4006853699684143	0.3349368870258331	0.371889591217041	0.3851707577705383	0.3819655776023865	0.4332650899887085
e13_t1_y2017_seqrunB	0.3548312485218048	0	0.2306961715221405	0.3088127076625824	0.3611481785774231	0.386632114648819	0.2391368895769119	0.3610869646072388	0.2850410044193268	0.3267329633235931	0.3524031043052673	0.3936173319816589	0.2786001861095428
e14_t1_y2017_seqrunB	0.3080291450023651	0.2306961715221405	0	0.2492398172616959	0.3394107818603516	0.4066223204135895	0.2747512757778168	0.3522080779075623	0.3346713483333588	0.39178666472435	0.4463347196578979	0.4111331403255463	0.3473165333271027
e16_t1_y2017_seqrunB	0.2642382383346558	0.3088127076625824	0.2492398172616959	0	0.3085200488567352	0.3588501811027527	0.2740831673145294	0.3576249182224274	0.3351612985134125	0.3705939650535583	0.4211974442005157	0.3506489396095276	0.2780402898788452
e17_t1_y2017_seqrunB	0.4221588969230652	0.3611481785774231	0.3394107818603516	0.3085200488567352	0	0.4905696213245392	0.411334902048111	0.4913791120052338	0.4100590944290161	0.3749915659427643	0.5314616560935974	0.4627570509910583	0.3415334224700928
e19_t1_y2017_seqrunB	0.4445174336433411	0.386632114648819	0.4066223204135895	0.3588501811027527	0.4905696213245392	0	0.394654780626297	0.398064523935318	0.3476139903068542	0.4140430688858032	0.3141365945339203	0.4691038727760315	0.3740271329879761
e23_t1_y2017_seqrunB	0.259510725736618	0.2391368895769119	0.2747512757778168	0.2740831673145294	0.411334902048111	0.394654780626297	0	0.361882746219635	0.2896845936775208	0.3760192096233368	0.290755420923233	0.3617656528949738	0.3132500946521759
e30_t1_y2017_seqrunB	0.4006853699684143	0.3610869646072388	0.3522080779075623	0.3576249182224274	0.4913791120052338	0.398064523935318	0.361882746219635	0	0.3355237245559692	0.4587442576885223	0.3812191486358643	0.429398775100708	0.3546821475028992
f15_t1_y2017_seqrunB	0.3349368870258331	0.2850410044193268	0.3346713483333588	0.3351612985134125	0.4100590944290161	0.3476139903068542	0.2896845936775208	0.3355237245559692	0	0.3548342883586884	0.2901506125926971	0.3583890795707703	0.3671692311763763
f20_t1_y2017_seqrunB	0.371889591217041	0.3267329633235931	0.39178666472435	0.3705939650535583	0.3749915659427643	0.4140430688858032	0.3760192096233368	0.4587442576885223	0.3548342883586884	0	0.4152021706104279	0.3934674263000488	0.3318137526512146
f25_t1_y2017_seqrunB	0.3851707577705383	0.3524031043052673	0.4463347196578979	0.4211974442005157	0.5314616560935974	0.3141365945339203	0.290755420923233	0.3812191486358643	0.2901506125926971	0.4152021706104279	0	0.4137034118175507	0.3639957308769226
f28_t1_y2017_seqrunB	0.3819655776023865	0.3936173319816589	0.4111331403255463	0.3506489396095276	0.4627570509910583	0.4691038727760315	0.3617656528949738	0.429398775100708	0.3583890795707703	0.3934674263000488	0.4137034118175507	0	0.4014842808246613
f31_t1_y2017_seqrunB	0.4332650899887085	0.2786001861095428	0.3473165333271027	0.2780402898788452	0.3415334224700928	0.3740271329879761	0.3132500946521759	0.3546821475028992	0.3671692311763763	0.3318137526512146	0.3639957308769226	0.4014842808246613	0
