	e11_t1_y2017_seqrunB	e13_t1_y2017_seqrunB	e14_t1_y2017_seqrunB	e16_t1_y2017_seqrunB	e17_t1_y2017_seqrunB	e19_t1_y2017_seqrunB	e23_t1_y2017_seqrunB	e30_t1_y2017_seqrunB	f15_t1_y2017_seqrunB	f20_t1_y2017_seqrunB	f25_t1_y2017_seqrunB	f28_t1_y2017_seqrunB	f31_t1_y2017_seqrunB
e11_t1_y2017_seqrunB	0	0.1473742723464966	0.1607039570808411	0.1052922382950783	0.1746664941310883	0.1389114111661911	0.1534438729286194	0.1433862000703812	0.09438659250736237	0.1518764197826385	0.2281478941440582	0.0930190309882164	0.1029718071222305
e13_t1_y2017_seqrunB	0.1473742723464966	0	0.1770494878292084	0.1585858017206192	0.204024538397789	0.1590763330459595	0.2451524138450623	0.2370884716510773	0.1586924642324448	0.1145144701004028	0.1496779918670654	0.1684090793132782	0.1480551064014435
e14_t1_y2017_seqrunB	0.1607039570808411	0.1770494878292084	0	0.09659600257873535	0.1470740884542465	0.1231769695878029	0.2130395919084549	0.2592860162258148	0.1523343771696091	0.2316135317087173	0.1601429879665375	0.1548868417739868	0.153159886598587
e16_t1_y2017_seqrunB	0.1052922382950783	0.1585858017206192	0.09659600257873535	0	0.0911613255739212	0.06507965177297592	0.1563650518655777	0.1952223181724548	0.1361736804246902	0.1791612356901169	0.2242052853107452	0.1437553018331528	0.1306235641241074
e17_t1_y2017_seqrunB	0.1746664941310883	0.204024538397789	0.1470740884542465	0.0911613255739212	0	0.07923343032598495	0.194211408495903	0.2293807864189148	0.2099868953227997	0.2069700956344604	0.2753857374191284	0.219829723238945	0.2011564821004868
e19_t1_y2017_seqrunB	0.1389114111661911	0.1590763330459595	0.1231769695878029	0.06507965177297592	0.07923343032598495	0	0.1625867933034897	0.2086645215749741	0.1731742173433304	0.1946372836828232	0.2372773587703705	0.1729266941547394	0.167349711060524
e23_t1_y2017_seqrunB	0.1534438729286194	0.2451524138450623	0.2130395919084549	0.1563650518655777	0.194211408495903	0.1625867933034897	0	0.08710318803787231	0.173584058880806	0.1929252445697784	0.3246973156929016	0.1543362736701965	0.1814171075820923
e30_t1_y2017_seqrunB	0.1433862000703812	0.2370884716510773	0.2592860162258148	0.1952223181724548	0.2293807864189148	0.2086645215749741	0.08710318803787231	0	0.1515448391437531	0.1783126890659332	0.31370809674263	0.138782262802124	0.1588327139616013
f15_t1_y2017_seqrunB	0.09438659250736237	0.1586924642324448	0.1523343771696091	0.1361736804246902	0.2099868953227997	0.1731742173433304	0.173584058880806	0.1515448391437531	0	0.1181561723351479	0.175931379199028	0.03302053734660149	0.03311491757631302
f20_t1_y2017_seqrunB	0.1518764197826385	0.1145144701004028	0.2316135317087173	0.1791612356901169	0.2069700956344604	0.1946372836828232	0.1929252445697784	0.1783126890659332	0.1181561723351479	0	0.1859543770551682	0.1368792653083801	0.1032927632331848
f25_t1_y2017_seqrunB	0.2281478941440582	0.1496779918670654	0.1601429879665375	0.2242052853107452	0.2753857374191284	0.2372773587703705	0.3246973156929016	0.31370809674263	0.175931379199028	0.1859543770551682	0	0.1819199323654175	0.1720826029777527
f28_t1_y2017_seqrunB	0.0930190309882164	0.1684090793132782	0.1548868417739868	0.1437553018331528	0.219829723238945	0.1729266941547394	0.1543362736701965	0.138782262802124	0.03302053734660149	0.1368792653083801	0.1819199323654175	0	0.04813660308718681
f31_t1_y2017_seqrunB	0.1029718071222305	0.1480551064014435	0.153159886598587	0.1306235641241074	0.2011564821004868	0.167349711060524	0.1814171075820923	0.1588327139616013	0.03311491757631302	0.1032927632331848	0.1720826029777527	0.04813660308718681	0
