	e11_t3_y2017_seqrunB	e13_t3_y2017_seqrunB	e14_t3_y2017_seqrunB	e16_t3_y2017_seqrunB	e17_t3_y2017_seqrunB	e19_t3_y2017_seqrunB	e23_t3_y2017_seqrunB	e30_t3_y2017_seqrunB	f15_t3_y2017_seqrunB	f20_t3_y2017_seqrunB	f21_t3_y2017_seqrunB	f25_t3_y2017_seqrunB	f28_t3_y2017_seqrunB	f3_t3_y2017_seqrunB	f31_t3_y2017_seqrunB	f4_t3_y2017_seqrunB
e11_t3_y2017_seqrunB	0	0.1182117611169815	0.1667905747890472	0.05881237611174583	0.0927111878991127	0.1660693287849426	0.1394820511341095	0.1212312653660774	0.2615421116352081	0.4329459667205811	0.2646293938159943	0.2705296874046326	0.313750833272934	0.2593964338302612	0.2953991293907166	0.2641608417034149
e13_t3_y2017_seqrunB	0.1182117611169815	0	0.07447672635316849	0.1123911887407303	0.08514310419559479	0.1289187371730804	0.1879585981369019	0.1145433411002159	0.3199250400066376	0.4234226942062378	0.3335764408111572	0.3196762800216675	0.3270001411437988	0.3175913095474243	0.3244607150554657	0.3154841065406799
e14_t3_y2017_seqrunB	0.1667905747890472	0.07447672635316849	0	0.1651000529527664	0.144421249628067	0.146069660782814	0.2494524270296097	0.1584719568490982	0.375936359167099	0.4222544431686401	0.3901191651821136	0.3715827167034149	0.3738539516925812	0.3724069595336914	0.3715289533138275	0.3678269386291504
e16_t3_y2017_seqrunB	0.05881237611174583	0.1123911887407303	0.1651000529527664	0	0.096243716776371	0.1564523726701736	0.1192040219902992	0.1174445301294327	0.2683432698249817	0.4358219504356384	0.2701608240604401	0.2682660520076752	0.309798538684845	0.2661230266094208	0.29144686460495	0.2640490233898163
e17_t3_y2017_seqrunB	0.0927111878991127	0.08514310419559479	0.144421249628067	0.096243716776371	0	0.127749890089035	0.156968966126442	0.1224728897213936	0.2926401495933533	0.4164522886276245	0.3023194372653961	0.2925049066543579	0.3000192642211914	0.2904199361801147	0.2972893416881561	0.2883127331733704
e19_t3_y2017_seqrunB	0.1660693287849426	0.1289187371730804	0.146069660782814	0.1564523726701736	0.127749890089035	0	0.2129334062337875	0.2033630609512329	0.3579456210136414	0.4381265938282013	0.3573710322380066	0.3578104376792908	0.3651342391967773	0.3557254076004028	0.3625948131084442	0.3536182045936584
e23_t3_y2017_seqrunB	0.1394820511341095	0.1879585981369019	0.2494524270296097	0.1192040219902992	0.156968966126442	0.2129334062337875	0	0.1679575592279434	0.270518958568573	0.4609633088111877	0.2396560907363892	0.2869667410850525	0.33056640625	0.2730330228805542	0.3119513988494873	0.2804059982299805
e30_t3_y2017_seqrunB	0.1212312653660774	0.1145433411002159	0.1584719568490982	0.1174445301294327	0.1224728897213936	0.2033630609512329	0.1679575592279434	0	0.3064667880535126	0.4446673393249512	0.3198525011539459	0.3062811195850372	0.3171918392181396	0.3041960895061493	0.3113057315349579	0.3020889461040497
f15_t3_y2017_seqrunB	0.2615421116352081	0.3199250400066376	0.375936359167099	0.2683432698249817	0.2926401495933533	0.3579456210136414	0.270518958568573	0.3064667880535126	0	0.2454770803451538	0.1502917110919952	0.02468165755271912	0.08875849843025208	0.02054366283118725	0.06277892738580704	0.03052993491292
f20_t3_y2017_seqrunB	0.4329459667205811	0.4234226942062378	0.4222544431686401	0.4358219504356384	0.4164522886276245	0.4381265938282013	0.4609633088111877	0.4446673393249512	0.2454770803451538	0	0.3812105059623718	0.222226470708847	0.1712816059589386	0.2336098551750183	0.1917719393968582	0.2211450040340424
f21_t3_y2017_seqrunB	0.2646293938159943	0.3335764408111572	0.3901191651821136	0.2701608240604401	0.3023194372653961	0.3573710322380066	0.2396560907363892	0.3198525011539459	0.1502917110919952	0.3812105059623718	0	0.1721513569355011	0.2285075038671494	0.1551268249750137	0.2042834311723709	0.1638853698968887
f25_t3_y2017_seqrunB	0.2705296874046326	0.3196762800216675	0.3715827167034149	0.2682660520076752	0.2925049066543579	0.3578104376792908	0.2869667410850525	0.3062811195850372	0.02468165755271912	0.222226470708847	0.1721513569355011	0	0.06635227054357529	0.03003068454563618	0.04001368582248688	0.01228930056095123
f28_t3_y2017_seqrunB	0.313750833272934	0.3270001411437988	0.3738539516925812	0.309798538684845	0.3000192642211914	0.3651342391967773	0.33056640625	0.3171918392181396	0.08875849843025208	0.1712816059589386	0.2285075038671494	0.06635227054357529	0	0.07581375539302826	0.02633859217166901	0.06844197958707809
f3_t3_y2017_seqrunB	0.2593964338302612	0.3175913095474243	0.3724069595336914	0.2661230266094208	0.2904199361801147	0.3557254076004028	0.2730330228805542	0.3041960895061493	0.02054366283118725	0.2336098551750183	0.1551268249750137	0.03003068454563618	0.07581375539302826	0	0.05211259797215462	0.02256502397358418
f31_t3_y2017_seqrunB	0.2953991293907166	0.3244607150554657	0.3715289533138275	0.29144686460495	0.2972893416881561	0.3625948131084442	0.3119513988494873	0.3113057315349579	0.06277892738580704	0.1917719393968582	0.2042834311723709	0.04001368582248688	0.02633859217166901	0.05211259797215462	0	0.04294796660542488
f4_t3_y2017_seqrunB	0.2641608417034149	0.3154841065406799	0.3678269386291504	0.2640490233898163	0.2883127331733704	0.3536182045936584	0.2804059982299805	0.3020889461040497	0.03052993491292	0.2211450040340424	0.1638853698968887	0.01228930056095123	0.06844197958707809	0.02256502397358418	0.04294796660542488	0
