	10N1	10N2	10N3	12N1	12N2	12N3	17N1	19N1	19N2	19N3	20N1	20N2	20N3	21N1	21N2	21N3	22N1	22N2	22N3	29N1	29N2	31N1	31N2	31N3	32N1	32N2	32N3	7N1	7N2	7N3	8N1	8N2	8N3	9N1	9N3
10N1	0.0	0.7130434782608696	0.4782608695652174	0.8434782608695652	0.8173913043478261	0.7739130434782608	0.8260869565217391	0.7739130434782608	0.991304347826087	0.808695652173913	0.8173913043478261	0.9826086956521739	0.45217391304347826	0.5739130434782609	0.8173913043478261	0.9565217391304348	0.7739130434782608	0.8956521739130435	0.8	0.6869565217391305	0.6173913043478261	0.6695652173913044	0.5826086956521739	0.7391304347826086	0.9739130434782609	0.5391304347826087	0.46956521739130436	0.6956521739130435	0.8260869565217391	1.0	0.6782608695652174	0.7391304347826086	0.8521739130434782	0.40869565217391307	0.6347826086956522
10N2	0.7130434782608696	0.0	0.7391304347826086	0.9130434782608695	0.8956521739130435	0.8782608695652174	0.8608695652173913	0.6173913043478261	0.991304347826087	0.8521739130434782	0.9130434782608695	0.9739130434782609	0.782608695652174	0.9043478260869565	0.9130434782608695	0.9739130434782609	0.9304347826086956	0.9304347826086956	0.8695652173913043	0.7739130434782608	0.8	0.8521739130434782	0.7565217391304347	0.8260869565217391	0.9652173913043478	0.7913043478260869	0.8	0.782608695652174	0.9304347826086956	1.0	0.7913043478260869	0.808695652173913	0.9217391304347826	0.8260869565217391	0.8434782608695652
10N3	0.4782608695652174	0.7391304347826086	0.0	0.8521739130434782	0.8260869565217391	0.6956521739130435	0.8695652173913043	0.782608695652174	0.9304347826086956	0.8434782608695652	0.7913043478260869	0.9826086956521739	0.6	0.7565217391304347	0.8608695652173913	0.9217391304347826	0.7652173913043478	0.8869565217391304	0.7565217391304347	0.6869565217391305	0.6521739130434783	0.5739130434782609	0.4956521739130435	0.6608695652173913	0.9478260869565217	0.5652173913043478	0.48695652173913045	0.591304347826087	0.8260869565217391	0.991304347826087	0.7043478260869566	0.6260869565217392	0.8695652173913043	0.5652173913043478	0.5565217391304348
12N1	0.8434782608695652	0.9130434782608695	0.8521739130434782	0.0	0.3652173913043478	0.8782608695652174	0.7478260869565218	0.6347826086956522	0.9826086956521739	0.8608695652173913	0.7739130434782608	1.0	0.7043478260869566	0.9391304347826087	0.4608695652173913	1.0	1.0	1.0	0.8695652173913043	0.808695652173913	0.6695652173913044	0.9130434782608695	0.6434782608695652	0.8782608695652174	0.991304347826087	0.8260869565217391	0.7739130434782608	0.7565217391304347	0.991304347826087	1.0	0.5478260869565217	0.9652173913043478	0.2956521739130435	0.8260869565217391	0.8608695652173913
12N2	0.8173913043478261	0.8956521739130435	0.8260869565217391	0.3652173913043478	0.0	0.9304347826086956	0.7565217391304347	0.6260869565217392	0.9652173913043478	0.8260869565217391	0.8	1.0	0.6608695652173913	0.9304347826086956	0.4434782608695652	0.9826086956521739	0.9826086956521739	0.991304347826087	0.8695652173913043	0.7739130434782608	0.7217391304347827	0.8956521739130435	0.7478260869565218	0.8695652173913043	1.0	0.7913043478260869	0.7565217391304347	0.7652173913043478	0.9826086956521739	1.0	0.5826086956521739	0.9304347826086956	0.391304347826087	0.808695652173913	0.7739130434782608
12N3	0.7739130434782608	0.8782608695652174	0.6956521739130435	0.8782608695652174	0.9304347826086956	0.0	0.7565217391304347	0.9130434782608695	0.9826086956521739	0.9565217391304348	0.8521739130434782	0.991304347826087	0.7739130434782608	0.8782608695652174	0.8521739130434782	0.9652173913043478	0.8956521739130435	0.9043478260869565	0.8	0.7217391304347827	0.8434782608695652	0.6173913043478261	0.6260869565217392	0.8608695652173913	0.9826086956521739	0.8173913043478261	0.6956521739130435	0.7565217391304347	0.8782608695652174	1.0	0.6173913043478261	0.8260869565217391	0.9391304347826087	0.7217391304347827	0.6782608695652174
17N1	0.8260869565217391	0.8608695652173913	0.8695652173913043	0.7478260869565218	0.7565217391304347	0.7565217391304347	0.0	0.782608695652174	0.9217391304347826	0.8	0.8	0.9739130434782609	0.6956521739130435	0.9739130434782609	0.7130434782608696	0.8782608695652174	0.8956521739130435	0.9130434782608695	0.8695652173913043	0.7043478260869566	0.8	0.9217391304347826	0.8173913043478261	0.8521739130434782	0.9478260869565217	0.8173913043478261	0.7739130434782608	0.8173913043478261	0.991304347826087	1.0	0.5739130434782609	0.9217391304347826	0.8260869565217391	0.8695652173913043	0.9043478260869565
19N1	0.7739130434782608	0.6173913043478261	0.782608695652174	0.6347826086956522	0.6260869565217392	0.9130434782608695	0.782608695652174	0.0	0.9478260869565217	0.808695652173913	0.8	1.0	0.6956521739130435	0.9304347826086956	0.6956521739130435	0.991304347826087	0.991304347826087	0.991304347826087	0.8521739130434782	0.7739130434782608	0.7130434782608696	0.8869565217391304	0.7043478260869566	0.8434782608695652	0.991304347826087	0.7565217391304347	0.7043478260869566	0.7391304347826086	0.9826086956521739	1.0	0.6608695652173913	0.9217391304347826	0.6869565217391305	0.7913043478260869	0.8434782608695652
19N2	0.991304347826087	0.991304347826087	0.9304347826086956	0.9826086956521739	0.9652173913043478	0.9826086956521739	0.9217391304347826	0.9478260869565217	0.0	0.5217391304347826	0.391304347826087	0.991304347826087	0.9739130434782609	0.991304347826087	1.0	0.9565217391304348	0.782608695652174	0.6434782608695652	1.0	0.9217391304347826	0.991304347826087	0.9478260869565217	0.991304347826087	0.991304347826087	0.9391304347826087	0.991304347826087	0.9739130434782609	0.9826086956521739	0.991304347826087	1.0	0.9739130434782609	0.991304347826087	1.0	0.9826086956521739	0.9391304347826087
19N3	0.808695652173913	0.8521739130434782	0.8434782608695652	0.8608695652173913	0.8260869565217391	0.9565217391304348	0.8	0.808695652173913	0.5217391304347826	0.0	0.3826086956521739	0.991304347826087	0.782608695652174	0.9217391304347826	0.8	0.9826086956521739	0.808695652173913	0.6608695652173913	0.9217391304347826	0.7043478260869566	0.7652173913043478	0.8695652173913043	0.8173913043478261	0.8782608695652174	0.9565217391304348	0.8434782608695652	0.7913043478260869	0.8608695652173913	0.9739130434782609	1.0	0.7652173913043478	0.8173913043478261	0.8608695652173913	0.808695652173913	0.8434782608695652
