	10N1	10N2	10N3	12N1	12N2	12N3	17N1	19N1	19N2	19N3	20N1	20N2	20N3	21N1	21N2	21N3	22N1	22N2	22N3	29N1	29N2	31N1	31N2	31N3	32N1	32N2	32N3	7N1	7N2	7N3	8N1	8N2	8N3	9N1	9N3
10N1	0.0	0.28564494907458876	0.40438278468470745	0.5375408709328929	0.4399506676066395	0.5012234262049502	0.3848933179992941	0.45624592958532983	0.5080124684096264	0.38270345731351263	0.4066887568303612	0.6103391121905086	0.4159695816109675	0.5375269526094719	0.40065822543681545	0.5473913982039644	0.463582852492571	0.45048969833789143	0.5558132307293552	0.4345467436997238	0.39538107786016213	0.31667936052850476	0.4327443308243647	0.6050120207382099	0.596293651913072	0.48172572027927923	0.3370415125435478	0.42615703448952913	0.5451267065371634	0.6994878172868548	0.4958009822954922	0.46718950448210694	0.5945750161702984	0.15728722155063704	0.38260829540863917
10N2	0.28564494907458876	0.0	0.4861068952276634	0.6100605856540969	0.5342006260470101	0.5758213784917933	0.47571651971278484	0.48656999656762223	0.5670094094631195	0.4929352324267755	0.49652654648748096	0.6423777865937316	0.4628307274042422	0.5563335988668631	0.4394227241711255	0.5504905890301847	0.5358245935727457	0.4541591692915915	0.552806485913443	0.546548711075979	0.5029473802824171	0.3910222880566011	0.53358685399443	0.6519106623961106	0.5954006063428459	0.5155444168270654	0.38147555933182997	0.46684807702670006	0.5551485470846378	0.6988413762709867	0.5259643170750415	0.4895049957298416	0.6554027339732484	0.2699788515566306	0.48921121295741055
10N3	0.40438278468470745	0.4861068952276634	0.0	0.5315271441365147	0.3315465261469295	0.40887901202084137	0.3628479038513916	0.23319705023725806	0.4442793953975941	0.5455739337569155	0.3304819886380515	0.5140856135107468	0.5951149114013694	0.6527994774543342	0.5227570589457183	0.38984218627711376	0.42109093554198207	0.5361247958942338	0.6474722324192396	0.4233614733364045	0.3875538605163532	0.5246608054874782	0.3166594521364591	0.5733365753297862	0.6891676289021959	0.563968436786742	0.49592462951217187	0.5350892102808528	0.6255405112489061	0.6590639831980204	0.41588366563119	0.5391925092482529	0.5747963234274428	0.4712542797604197	0.343837849416827
12N1	0.5375408709328929	0.6100605856540969	0.5315271441365147	0.0	0.34215238852342905	0.5598316080803286	0.3889357766101794	0.46676793803350003	0.5622700944390728	0.6375596294017011	0.46146621229196966	0.506738893374766	0.6552173655785214	0.6956940576677821	0.570159051193602	0.5911877591527365	0.5061609609087508	0.6659470220785411	0.7343605698519229	0.4129098601762607	0.2976701710924238	0.6381895639021713	0.43341840758072003	0.596447733406825	0.708907628607807	0.666178605685304	0.610224463295085	0.6162033508209537	0.7421901025251628	0.6281297642420391	0.4598948377340985	0.6970442440350142	0.47789763459383927	0.5451293894443459	0.40264355789591594
12N2	0.4399506676066395	0.5342006260470101	0.3315465261469295	0.34215238852342905	0.0	0.4199460813526938	0.22719558045749275	0.29179425752088445	0.44346920253532324	0.5558972544022703	0.3203848480032448	0.43279438429714695	0.5746129439624978	0.6569392416313434	0.5447145480292465	0.493787583510556	0.39144469978006746	0.6048601851977926	0.6922527668348177	0.4266035551052101	0.3416282126025885	0.5553610918914308	0.33116281395919517	0.5814895205335201	0.7106401230315254	0.6250072489796641	0.49253469872917927	0.5316955074245929	0.6942440041573078	0.5999064227390504	0.35800384854967926	0.6139785679172356	0.4310106610267738	0.44100841510153754	0.3112588810495959
12N3	0.5012234262049502	0.5758213784917933	0.40887901202084137	0.5598316080803286	0.4199460813526938	0.0	0.3896060625780685	0.3660700148161864	0.3434839635962188	0.5192201977121943	0.3238599940280955	0.5094228963752486	0.5369030102969437	0.6052310723369798	0.6184480927322563	0.5035295889157396	0.28161632451723034	0.6031258475426353	0.6772488110932714	0.4383822242943588	0.42134658097668587	0.5108090119264705	0.3195995302133124	0.4584104216385375	0.6133867091285145	0.6017173837438524	0.5210132511965443	0.4886967179866717	0.6711466778095052	0.6302994872529473	0.36930980250853074	0.5910657773300707	0.46165865547046375	0.5443799332857945	0.34091416059692353
17N1	0.3848933179992941	0.47571651971278484	0.3628479038513916	0.3889357766101794	0.22719558045749275	0.3896060625780685	0.0	0.26781775971311855	0.34428973794195755	0.5056019448327904	0.20828909325824557	0.4611655191510786	0.5520343950601458	0.6251276061448252	0.5641554236859034	0.40126913642261575	0.2381896942806057	0.5296923816869805	0.6542670588161109	0.3832425787873937	0.2625617180951534	0.5104151450662031	0.3060025769149911	0.5024785177719602	0.6899202941732296	0.6367323226484015	0.486680694637816	0.5277587932432942	0.6482468285736455	0.570341807727221	0.33949525260592345	0.6028668564799242	0.42193859542187273	0.39652913332391637	0.22182366410634352
19N1	0.45624592958532983	0.48656999656762223	0.23319705023725806	0.46676793803350003	0.29179425752088445	0.3660700148161864	0.26781775971311855	0.0	0.4063398147114822	0.5301820478453466	0.2677933673447902	0.4311849456378996	0.5380523193417461	0.6353787328358355	0.482222588352981	0.40496644499454126	0.4181985217052852	0.5431393534646165	0.6088976711749264	0.4518512829502762	0.3672188809039264	0.5074689900325611	0.267158386444033	0.5415370218804838	0.6896963966822923	0.5747580058601499	0.4307891433377349	0.4828420946015037	0.580712869156732	0.6059002701183365	0.3416008191495602	0.5347109203626473	0.4640216931023387	0.46782204430257757	0.250878588208993
19N2	0.5080124684096264	0.5670094094631195	0.4442793953975941	0.5622700944390728	0.44346920253532324	0.3434839635962188	0.34428973794195755	0.4063398147114822	0.0	0.430548162962125	0.2952178880613743	0.5087312321608407	0.50209836124612	0.5502793262776502	0.6168983415005086	0.42639405951931547	0.25708297496641963	0.5704007891319853	0.6798353664032482	0.40397762872202364	0.4262979064864016	0.5155998996454312	0.3769043757604452	0.4796464087465442	0.5925847025165525	0.6345816566817639	0.5536684262297408	0.5113912791520999	0.6531023857568551	0.5936160575752896	0.2971333575213193	0.5701587803304451	0.44524944377147385	0.54050303116382	0.33014217897425746
19N3	0.38270345731351263	0.4929352324267755	0.5455739337569155	0.6375596294017011	0.5558972544022703	0.5192201977121943	0.5056019448327904	0.5301820478453466	0.430548162962125	0.0	0.5063891090724904	0.6487340903298898	0.4063452515193828	0.4611090246002595	0.48743989237223173	0.6038255015524896	0.5189123022230218	0.5410655186253017	0.6059393753662118	0.49099802124587466	0.557462602559918	0.4445419272634371	0.5345880322432149	0.5952034774298864	0.5704190777122328	0.5311463157641725	0.39108456077535064	0.35815108925190386	0.5701993116341617	0.714933833271789	0.4653272740109907	0.49615268673697266	0.5586481956545098	0.39892681918087075	0.5021658438946007
20N1	0.4066887568303612	0.49652654648748096	0.3304819886380515	0.46146621229196966	0.3203848480032448	0.3238599940280955	0.20828909325824557	0.2677933673447902	0.2952178880613743	0.5063891090724904	0.0	0.45549455002301625	0.5493336547407072	0.6143255922972182	0.5568183358495642	0.4403505603743451	0.3092304092313285	0.5620814705563456	0.6508676011320997	0.3817414643198991	0.2934419673972341	0.4615816347332263	0.25071334340757045	0.49234593555107814	0.6745729969575427	0.6610688022902407	0.46814934416440845	0.5154345728447646	0.6443922065546663	0.5809444965911789	0.32988680026698336	0.5738476429163719	0.4128162575624829	0.44591531895370523	0.1519599935350482
20N2	0.6103391121905086	0.6423777865937316	0.5140856135107468	0.506738893374766	0.43279438429714695	0.5094228963752486	0.4611655191510786	0.4311849456378996	0.5087312321608407	0.6487340903298898	0.45549455002301625	0.0	0.6189873738676603	0.708745827319424	0.6176045148720405	0.5093697162841142	0.5185058081324605	0.6662605789532153	0.7125510490138658	0.607660726911857	0.5382399530891996	0.6272041606248635	0.46647128115645226	0.6499005622744325	0.730796973124783	0.6880471003756389	0.5323792021283351	0.6172511535196229	0.6699390909890484	0.5554519547298351	0.5217128965802513	0.655434573413133	0.4783519442510375	0.617012599801456	0.4716009321366674
20N3	0.4159695816109675	0.4628307274042422	0.5951149114013694	0.6552173655785214	0.5746129439624978	0.5369030102969437	0.5520343950601458	0.5380523193417461	0.50209836124612	0.4063452515193828	0.5493336547407072	0.6189873738676603	0.0	0.4629673608539742	0.5037759699408285	0.614778553827595	0.5415097973659151	0.5582915433546861	0.5766337504903445	0.5761272823544629	0.5938825471306599	0.4186284541993188	0.573923172391458	0.5970860558397253	0.5663410979014241	0.4880727338678171	0.36160486444284595	0.46389193475991536	0.5769313962058757	0.7313007258356606	0.5082811840422619	0.4938002213506837	0.6150466993714517	0.40549268561458723	0.5430135113006112
21N1	0.5375269526094719	0.5563335988668631	0.6527994774543342	0.6956940576677821	0.6569392416313434	0.6052310723369798	0.6251276061448252	0.6353787328358355	0.5502793262776502	0.4611090246002595	0.6143255922972182	0.708745827319424	0.4629673608539742	0.0	0.589849774447097	0.6577749181386773	0.6138434480741456	0.6217259948830914	0.6533241586444248	0.5919170742757147	0.6343122157047325	0.5716773121691772	0.6314679394825905	0.6728141513336581	0.48415672718960606	0.5730552167067724	0.5785356052675277	0.5191438032934692	0.6497490322781436	0.649339246303508	0.5802912587325635	0.5973653371523885	0.6789562612664856	0.5221373829217725	0.6220003960473824
21N2	0.40065822543681545	0.4394227241711255	0.5227570589457183	0.570159051193602	0.5447145480292465	0.6184480927322563	0.5641554236859034	0.482222588352981	0.6168983415005086	0.48743989237223173	0.5568183358495642	0.6176045148720405	0.5037759699408285	0.589849774447097	0.0	0.5612961664042946	0.6249516374441157	0.5189766961323912	0.5319853813774614	0.5653860154730882	0.5572806556622896	0.4698575870585004	0.5560744735561178	0.6633539173423632	0.618168045431888	0.5411298267467638	0.454249693811235	0.46668510543215586	0.5530123461853256	0.6848208840597886	0.5639994451923747	0.4590989657233601	0.6309641612725262	0.40802223025842194	0.5558704166248266
