#SampleID	code	year	seqrun	treatment	cage	time	time_number	sex	extra	exp3	exp4	control	diet	time_num	all2016_time	treatment_time	treatmenttime	genotype	year_time	time_sex	yeartimesex	genotype2	diet_method	genotype_method	sampID	yearcage	sortorder	extradate	cagetime	sort2	quantreading	cagetimeyearseqrun	cagetimeyearseqrunsex
S2016B_Female-Founder_B7C5_6a	base-base-base-F	y2017	seqrunA	base	base	base	1	F	base	plate8	SB7SC5	sample	labfood	0	base	base_base	basebase	na	y2017base	base_F	y2017baseF	base	dietpan	B	base-base	y2017base	691	7/1/17	basebase	1	1	base_base_y2017_seqrunA	base_base_y2017_seqrunA_F
S2016B_Female-Founder_B7C5_6b	base-base-base-F	y2017	seqrunA	base	base	base	1	F	base	plate8	SB7SC5	sample	labfood	0	base	base_base	basebase	na	y2017base	base_F	y2017baseF	base	dietpan	B	base-base	y2017base	692	7/1/17	basebase	2	1	base_base_y2017_seqrunA	base_base_y2017_seqrunA_F
S2017t2_Founder-Female_C7C5_12d	base-base-base-F	y2017	seqrunA	base	base	base	1	F	base	plate6	SC7SC5	sample	labfood	0	base	base_base	basebase	na	y2017base	base_F	y2017baseF	base	dietpan	B	base-base	y2017base	910	7/1/17	basebase	3	1	base_base_y2017_seqrunA	base_base_y2017_seqrunA_F
S2017t2_Founder-Female_C7C5_12g	base-base-base-F	y2017	seqrunA	base	base	base	1	F	base	plate6	SC7SC5	sample	labfood	0	base	base_base	basebase	na	y2017base	base_F	y2017baseF	base	dietpan	B	base-base	y2017base	911	7/1/17	basebase	4	1	base_base_y2017_seqrunA	base_base_y2017_seqrunA_F
S2017t2_Founder-Female_C7D5_2f	base-base-base-F	y2017	seqrunA	base	base	base	1	F	base	plate6	SC7SD5	sample	labfood	0	base	base_base	basebase	na	y2017base	base_F	y2017baseF	base	dietpan	B	base-base	y2017base	912	7/1/17	basebase	5	1	base_base_y2017_seqrunA	base_base_y2017_seqrunA_F
S2017t2_Founder-Male_C7C5_11d	base-base-base-M	y2017	seqrunA	base	base	base	1	M	base	plate6	SC7SC5	sample	labfood	0	base	base_base	basebase	na	y2017base	base_M	y2017baseM	base	dietpan	B	base-base	y2017base	913	7/1/17	basebase	6	1	base_base_y2017_seqrunA	base_base_y2017_seqrunA_M
S2017t2_Founder-Male_C7D5_11e	base-base-base-M	y2017	seqrunA	base	base	base	1	M	base	plate6	SC7SD5	sample	labfood	0	base	base_base	basebase	na	y2017base	base_M	y2017baseM	base	dietpan	B	base-base	y2017base	914	7/1/17	basebase	7	1	base_base_y2017_seqrunA	base_base_y2017_seqrunA_M
S2017t3_Founder-Male	base-base-base-M	y2017	seqrunA	base	base	base	1	M	base	plate7	SC7SD5	sample	labfood	0	base	base_base	basebase	na	y2017base	base_M	y2017baseM	base	dietpan	B	base-base	y2017base	951	7/1/17	basebase	8	1	base_base_y2017_seqrunA	base_base_y2017_seqrunA_M
S2016B_B7C5_6e	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	plate8Control	SB7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	685	na	ControlControl	9	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2016B_B7C5_6f	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	plate8Control	SB7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	686	na	ControlControl	10	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2016B_B7C5_6g	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	plate8Control	SB7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	687	na	ControlControl	11	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2016B_B7C5_6h	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	plate8Control	SB7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	688	na	ControlControl	12	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2016B_B7C5_7a	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SB7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	689	na	ControlControl	13	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2016B_B7C5_7b	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SB7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	690	na	ControlControl	14	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017b_control_C7D5_11a	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	plate8Control	SC7SD5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	695	na	ControlControl	15	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t1_B7D5_1a	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SB7SD5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	728	na	ControlControl	16	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t1_B7D5_1b	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SB7SD5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	729	na	ControlControl	17	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t1_B7D5_1c	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SB7SD5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	730	na	ControlControl	18	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t1_B7D5_2b	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SB7SD5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	731	na	ControlControl	19	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t1_B7D5_2c	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SB7SD5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	732	na	ControlControl	20	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t2_C7C5_10a	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SC7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	822	na	ControlControl	21	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t2_C7C5_10h	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SC7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	823	na	ControlControl	22	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t2_C7C5_11a	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SC7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	824	na	ControlControl	23	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t2_C7C5_11h	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SC7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	825	na	ControlControl	24	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t2_C7C5_12a	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SC7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	826	na	ControlControl	25	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t2_C7C5_1a	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SC7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	827	na	ControlControl	26	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t2_C7C5_1e	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SC7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	828	na	ControlControl	27	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t2_C7C5_1f	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SC7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	829	na	ControlControl	28	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t2_C7C5_1g	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SC7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	830	na	ControlControl	29	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t2_C7C5_1h	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SC7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	831	na	ControlControl	30	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t2_C7C5_2a	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SC7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	832	na	ControlControl	31	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t2_C7C5_2h	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SC7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	833	na	ControlControl	32	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t2_C7C5_3a	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SC7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	834	na	ControlControl	33	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t2_C7C5_3h	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SC7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	835	na	ControlControl	34	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t2_C7C5_4h	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SC7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	836	na	ControlControl	35	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t2_C7C5_5h	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SC7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	837	na	ControlControl	36	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t2_C7C5_6h	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SC7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	838	na	ControlControl	37	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
S2017t2_C7C5_7h	control-control-control-control	y2017	seqrunA	Control	Control	Control	NA	Control	Control	NAControl	SC7SC5	control	labfood	5	Control	Control_Control	ControlControl	na	y2017Control	Control_Control	y2017ControlControl	Control	dietpan	B	Control-Control	y2017Control	839	na	ControlControl	38	1	Control_Control_y2017_seqrunA	Control_Control_y2017_seqrunA_Control
