,FOUND2_TB,FOUND1_TB,B1_T0,E11_T0,E13_T0,E14_T0,E16_T0,E17_T0,E19_T0,E23_T0,E30_T0,ED12_T0,ED18_T0,ED22_T0,ED24_T0,ED26_T0,ED27_T0,ED29_T0,ED32_T0,B1_T1,B2_T1,B3_T1,B4_T1,E11_T1,E13_T1,E14_T1,E16_T1,E17_T1,E19_T1,E23_T1,E30_T1,ED12_T1,ED18_T1,ED22_T1,ED24_T1,ED26_T1,ED27_T1,ED29_T1,ED32_T1,F3_T1,F4_T1,F15_T1,F20_T1,F21_T1,F25_T1,F28_T1,F31_T1,S1_T1,S2_T1,S5_T1,S6_T1,S7_T1,S8_T1,S9_T1,S10_T1,E11_T2,E13_T2,E14_T2,E16_T2,E17_T2,E19_T2,E23_T2,E30_T2,ED12_T2,ED18_T2,ED22_T2,ED24_T2,ED26_T2,ED27_T2,ED29_T2,ED32_T2,B1_T3,B2_T3,B3_T3,B4_T3,E11_T3,E13_T3,E14_T3,E16_T3,E17_T3,E19_T3,E23_T3,E30_T3,ED12_T3,ED18_T3,ED22_T3,ED24_T3,ED26_T3,ED27_T3,ED29_T3,ED32_T3,F3_T3,F4_T3,F15_T3,F21_T3,F25_T3,F28_T3,F31_T3,S1_T3,S2_T3,S5_T3,S6_T3,S7_T3,S8_T3,S9_T3,S10_T3
FOUND2_TB,NA,0.013989116,0.015643171,0.016213623,0.01438285,0.015012998,0.01684773,0.014617244,0.013633227,0.015866801,0.014132465,0.016331066,0.014369042,0.014351863,0.014824966,0.013675602,0.01439805,0.014325315,0.014513473,0.016995619,0.023075089,0.018780409,0.021374078,0.01593873,0.014721692,0.0157483,0.015908431,0.014360158,0.013960461,0.014228234,0.014222056,0.01529367,0.014504696,0.013956228,0.014475346,0.014154717,0.014782473,0.014856734,0.014789602,0.015078515,0.015233448,0.015537367,0.014588095,0.015329016,0.015391802,0.015237142,0.016615237,0.014181562,0.014588359,0.013842021,0.013854028,0.014269021,0.013981244,0.014487803,0.014741622,0.01569536,0.014810105,0.016776173,0.016102903,0.014152163,0.01522148,0.015256636,0.013004285,0.015898732,0.014612426,0.015095129,0.015538356,0.015010015,0.015287095,0.016003482,0.014238799,0.015977237,0.015069818,0.017231793,0.017054074,0.01610399,0.016907641,0.017563522,0.01570211,0.014666637,0.01533745,0.015104227,0.016021557,0.015819434,0.016337803,0.015130331,0.015712148,0.01552613,0.01717879,0.016588552,0.015287873,0.01602493,0.016436071,0.017247354,0.017662426,0.019433434,0.016588762,0.017041264,0.0243733,0.0257224,0.019126835,0.017431985,0.018470351,0.02040927,0.016779274,0.017409414
FOUND1_TB,0.013989116,NA,0.015580277,0.016124045,0.014579845,0.014843451,0.016288504,0.014510793,0.013850638,0.015317761,0.013958647,0.01549279,0.014089744,0.014406117,0.01468141,0.013806675,0.013996909,0.013827,0.014716355,0.017088916,0.023345298,0.019083354,0.021777893,0.015636902,0.01492633,0.015526608,0.015807731,0.014556006,0.014360992,0.013967899,0.014126271,0.015415704,0.015034336,0.014010093,0.014281845,0.014354965,0.014125856,0.014922824,0.015362261,0.015267631,0.014790632,0.015667531,0.014785415,0.015721253,0.015383704,0.014783204,0.016586816,0.014299521,0.014729734,0.014153049,0.014265744,0.014925218,0.01438336,0.014831698,0.015042495,0.01556277,0.014831795,0.015867688,0.01575935,0.013920417,0.015438441,0.015246703,0.013283728,0.015730081,0.014663485,0.014894308,0.015143737,0.015348854,0.01468319,0.016031894,0.01434163,0.016115226,0.015287038,0.017264687,0.01736222,0.016247995,0.017497493,0.016867022,0.015481444,0.014925147,0.015362038,0.014765915,0.01586478,0.015726698,0.01662031,0.014845871,0.015447014,0.015969367,0.016568013,0.01651093,0.01520814,0.016248598,0.016521156,0.017643343,0.017812436,0.018873135,0.016264643,0.016839613,0.026168486,0.0267023,0.018889962,0.017833078,0.019179668,0.021587904,0.017727436,0.018342533
B1_T0,0.015643171,0.015580277,NA,0.016828138,0.015916434,0.015993495,0.017473233,0.01562496,0.015343204,0.0171314,0.016035128,0.016871297,0.015585898,0.015753933,0.015893009,0.015082074,0.015495893,0.015322747,0.015601989,0.017817309,0.02414488,0.019870244,0.022776244,0.016862595,0.016113556,0.016790224,0.017242729,0.015601094,0.015685054,0.015085429,0.015523105,0.016620861,0.01591531,0.015493518,0.015517839,0.015397145,0.015544822,0.015869438,0.016469181,0.015802181,0.015585477,0.016460294,0.01576821,0.016626301,0.016085798,0.015638841,0.017491161,0.015010039,0.015714336,0.014974502,0.015151957,0.015787689,0.015470809,0.015682372,0.015973046,0.01658739,0.016081797,0.017055962,0.016701493,0.015113515,0.016628314,0.016889951,0.014677635,0.016337633,0.016017224,0.016108748,0.016532337,0.016369466,0.016099839,0.017307428,0.015505316,0.017296681,0.016483663,0.018254591,0.018301765,0.016976569,0.018670931,0.017731097,0.016713661,0.015832074,0.016552931,0.016444485,0.017038223,0.016406055,0.018235107,0.015989433,0.017035435,0.01698653,0.017561841,0.017345814,0.016488454,0.016902516,0.017565049,0.018371881,0.01844166,0.020617698,0.017373942,0.017656545,0.027157579,0.02887987,0.019451458,0.01880258,0.020040636,0.02348852,0.018637054,0.019544505
E11_T0,0.016213623,0.016124045,0.016828138,NA,0.016432675,0.016588328,0.017527822,0.016486644,0.015624419,0.017398264,0.016272292,0.016852236,0.01609788,0.016156,0.016206755,0.01516072,0.016093801,0.01551427,0.015929575,0.018887835,0.025232391,0.020512025,0.023497624,0.014522785,0.016600468,0.01693044,0.017215909,0.01603068,0.015778233,0.015877105,0.016168053,0.016767439,0.016423158,0.015522554,0.0162442,0.015712888,0.016044426,0.016565143,0.01680251,0.016971339,0.016613681,0.01725491,0.016554109,0.017133113,0.016941875,0.016925131,0.018383559,0.01570075,0.01594551,0.015762969,0.015804612,0.016454499,0.016016475,0.016150766,0.017019871,0.013998849,0.01650453,0.017821339,0.016800686,0.015523991,0.016588346,0.017361897,0.014917212,0.016643073,0.016054007,0.016573941,0.016811352,0.016345774,0.016975581,0.017889661,0.015624764,0.017581933,0.01659553,0.018692764,0.018866626,0.014353634,0.019026568,0.018308825,0.016548615,0.016421294,0.016877561,0.016957259,0.017306912,0.016687155,0.01820301,0.01647923,0.017017686,0.01746139,0.018589309,0.017696987,0.01669874,0.017698931,0.018418739,0.019173755,0.019241068,0.020720217,0.018266827,0.018495029,0.027494919,0.028768829,0.020410458,0.01945636,0.020752025,0.023322235,0.018614337,0.019984449
E13_T0,0.01438285,0.014579845,0.015916434,0.016432675,NA,0.014961837,0.016819564,0.015000706,0.014115696,0.015847434,0.014462058,0.015973417,0.014567668,0.01463395,0.015052124,0.013876223,0.0146679,0.014057019,0.01462502,0.016908912,0.023648839,0.018841464,0.021492327,0.01603094,0.013823301,0.015447255,0.016060539,0.014556334,0.014081042,0.014132616,0.014790289,0.015400305,0.014772661,0.014359749,0.014527278,0.01403875,0.01473453,0.014925082,0.014679713,0.014973321,0.014993554,0.015554971,0.01497172,0.015430755,0.015115961,0.015022509,0.016513653,0.014133459,0.014555397,0.014112551,0.014077035,0.014613041,0.014241048,0.014459975,0.014739691,0.015538975,0.013574519,0.016476241,0.016011586,0.014188282,0.015264788,0.015563864,0.013495033,0.015694576,0.01478929,0.015282563,0.015663475,0.014970653,0.015208424,0.016069813,0.014008934,0.01612267,0.015208528,0.017082008,0.01676391,0.016569251,0.016442251,0.016941255,0.01536299,0.015143728,0.015332548,0.015374523,0.016158718,0.015757833,0.016769382,0.015150148,0.016180283,0.01599271,0.016942521,0.016527214,0.015099472,0.016071798,0.016452795,0.016824134,0.017202809,0.019159376,0.016298359,0.016751643,0.024792065,0.026221988,0.019013828,0.017680108,0.01812444,0.020649304,0.017292102,0.017396538
E14_T0,0.015012998,0.014843451,0.015993495,0.016588328,0.014961837,NA,0.017126282,0.015368212,0.014519952,0.016549648,0.015076037,0.016189865,0.014866664,0.015083129,0.015451875,0.014109665,0.014848053,0.01459103,0.015230782,0.017734272,0.024131435,0.01952129,0.022438101,0.016194156,0.015151056,0.014231445,0.016664722,0.015149753,0.014665396,0.014790988,0.014932889,0.016085861,0.015345768,0.014650765,0.014977977,0.014795542,0.014998598,0.015485058,0.015651362,0.015959555,0.01548696,0.01637561,0.015643508,0.016248407,0.015802806,0.015784096,0.017266662,0.01485472,0.015184878,0.014782912,0.014879864,0.01539684,0.014816242,0.015226936,0.015661601,0.016060713,0.015317079,0.014975942,0.016151461,0.014701802,0.015788466,0.016350454,0.013804259,0.015854171,0.015276384,0.01539398,0.016130672,0.01547192,0.015594673,0.016707271,0.014845416,0.016693805,0.015987234,0.017710233,0.017405833,0.016631764,0.017997325,0.015338526,0.015798498,0.015327504,0.015825098,0.015766661,0.016200439,0.016046047,0.017202044,0.015384493,0.016661334,0.016158773,0.017183986,0.016873327,0.015617854,0.016801697,0.017345214,0.017679528,0.01789447,0.019425201,0.016993839,0.017286494,0.025898195,0.027190622,0.019484247,0.018566946,0.019128149,0.02191604,0.017879075,0.018653403
E16_T0,0.01684773,0.016288504,0.017473233,0.017527822,0.016819564,0.017126282,NA,0.016626545,0.01623778,0.017657299,0.016569132,0.01753336,0.016849582,0.016767949,0.017086818,0.015967261,0.016723644,0.016142542,0.016905083,0.019259216,0.025525994,0.02104432,0.024201252,0.017867199,0.017079655,0.017208629,0.015609537,0.01686311,0.016604252,0.016400378,0.016802948,0.01748234,0.017483403,0.016546025,0.016874183,0.016527633,0.016673605,0.017373527,0.017513137,0.017297411,0.016820273,0.018115163,0.0171159,0.018104653,0.01778897,0.017520412,0.019044917,0.016455204,0.016732568,0.016474569,0.016393033,0.017202472,0.016695154,0.017056608,0.017334537,0.017377739,0.017032572,0.018331181,0.015554162,0.016139943,0.017753527,0.017928693,0.015810234,0.017444902,0.017092181,0.017448445,0.017551291,0.017575279,0.017433482,0.018669795,0.016431215,0.018283239,0.017405546,0.019421158,0.019407335,0.017974751,0.019609559,0.019127644,0.015382557,0.017383219,0.017535167,0.017830131,0.018389531,0.017515755,0.019476892,0.01741271,0.018193479,0.018366643,0.019047164,0.018405932,0.017499603,0.01843552,0.019020037,0.019937291,0.019906971,0.021186791,0.018980335,0.018951801,0.028950619,0.029888195,0.021236874,0.020205878,0.021507981,0.024988535,0.019942196,0.02084433
E17_T0,0.014617244,0.014510793,0.01562496,0.016486644,0.015000706,0.015368212,0.016626545,NA,0.014103586,0.015625583,0.014648297,0.016060527,0.014676454,0.014783343,0.015086503,0.014166167,0.014710423,0.014412316,0.014827566,0.017384118,0.023511078,0.019103308,0.021748867,0.016274123,0.015300092,0.015914238,0.016251876,0.014045449,0.014591546,0.014352777,0.014784034,0.015592239,0.015059481,0.014355803,0.014718699,0.014533256,0.015021803,0.015163638,0.015365693,0.015265952,0.015175989,0.015833801,0.014908023,0.015544466,0.015559955,0.015270563,0.016874529,0.014376593,0.014635912,0.014221443,0.01418952,0.01488285,0.014658561,0.01492142,0.014976242,0.015953331,0.01517305,0.0168284,0.01633925,0.013674631,0.015885095,0.015812029,0.013568302,0.016000692,0.015047296,0.015564385,0.015774699,0.015337068,0.015516806,0.016301406,0.014489478,0.016462643,0.015749945,0.017594935,0.017415629,0.016703482,0.017666723,0.01733181,0.015843492,0.014290822,0.016047272,0.015686267,0.016396116,0.015785869,0.017091477,0.015251306,0.01613922,0.016405292,0.017401584,0.016707644,0.015554308,0.016503956,0.016968687,0.01755535,0.0174918,0.019666844,0.016756944,0.017004614,0.025792385,0.027366465,0.019552438,0.018034248,0.019138594,0.021540134,0.017789126,0.018134119
E19_T0,0.013633227,0.013850638,0.015343204,0.015624419,0.014115696,0.014519952,0.01623778,0.014103586,NA,0.01487984,0.013216126,0.015544779,0.01351507,0.013820192,0.014379634,0.013002539,0.013804179,0.01370585,0.013269764,0.016814907,0.02343565,0.018581291,0.02077053,0.015743271,0.01421455,0.015076147,0.01568474,0.014107868,0.012354966,0.013991306,0.013898275,0.014891173,0.013896079,0.013579792,0.014086562,0.013821638,0.014465779,0.014058713,0.013806166,0.014633018,0.015204499,0.014636406,0.01432823,0.014953975,0.014625872,0.014950757,0.016224083,0.013378015,0.013682571,0.013386843,0.013745265,0.01387905,0.013530035,0.014053791,0.014155153,0.014964307,0.013901106,0.015907899,0.015803829,0.013778562,0.013309192,0.015055815,0.012590886,0.014936397,0.013685751,0.014339885,0.015014496,0.013697035,0.014866447,0.015126079,0.012798572,0.015608712,0.014108009,0.017051642,0.016401628,0.01541012,0.015918441,0.016384626,0.015045108,0.013886548,0.013466586,0.014455231,0.015216147,0.015115777,0.014687438,0.014247504,0.015170631,0.014887936,0.016939744,0.01559435,0.013944442,0.015551555,0.016255072,0.016452961,0.016799315,0.018709912,0.015974351,0.016345879,0.02267586,0.024373702,0.019099582,0.017042916,0.017950666,0.018584243,0.015817712,0.01642559
E23_T0,0.015866801,0.015317761,0.0171314,0.017398264,0.015847434,0.016549648,0.017657299,0.015625583,0.01487984,NA,0.015484175,0.016741169,0.015589927,0.015736155,0.015924252,0.015173827,0.01593894,0.015339143,0.01558548,0.018731862,0.024819452,0.020109967,0.022777507,0.017411319,0.016282679,0.016991193,0.017444319,0.01620415,0.016075578,0.015288302,0.015867871,0.016573832,0.015968196,0.015313996,0.016102202,0.015713938,0.016168299,0.016326617,0.016054541,0.016476338,0.016594986,0.016654552,0.016018419,0.016823818,0.016598048,0.016330519,0.018116324,0.015270622,0.01584476,0.015376272,0.015513793,0.016087287,0.015691779,0.015988575,0.01639879,0.016756968,0.015882033,0.01802003,0.017444242,0.015416962,0.016837511,0.015065655,0.014586705,0.016703673,0.015632266,0.016540641,0.016713116,0.016105262,0.016638165,0.017219389,0.014834893,0.017895859,0.016231433,0.018927985,0.018610199,0.017675903,0.018284029,0.018480183,0.016592058,0.016438734,0.016769398,0.01463608,0.017199859,0.016628416,0.017652066,0.016137426,0.016845561,0.017700854,0.018677093,0.017366582,0.016294165,0.017322799,0.017965917,0.018569145,0.018298364,0.020625566,0.017668863,0.017948786,0.026099745,0.026673405,0.02029557,0.01925999,0.019853825,0.021927025,0.018307632,0.018715032
